"Sp_ScientificName","SpCode","Sp_CommonName","AutoCtr","StockCode","FamCode","PopLWRef","LengthMin","LengthMax","Type","LmaxCompare","EsQ","Number","Sex","a","aTL","b","CoeffDetermination","SEa","SEb","SDa","SDb","LCLa","UCLa","LCLb","UCLb","Method","Locality","DataRef","C_Code","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
"Margarites marginatus","SNAILMM","Smooth margarites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Margarites pupillus","SNAILMP","Puppet margarites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melibe leonina","NUDHOOD","Hooded nudibranch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microgadus proximus","CODTOM","Pacific tomcod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microstomus pacificus","SOLEDOV","Dover sole",5901,4443,440,56527,19,62,"TL",NA,NA,2000,"Mixed",0.01222,0.01222,2.9387,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Washington and Oregon",NA,"840",NA,1287,"2006-03-23T18:56:45.000Z",NA,"2006-03-23T18:56:45.000Z",NA,NA,NA,4247
"Microstomus pacificus","SOLEDOV","Dover sole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myoxocephalus scorpius","SCULSHRN","Shorthorn sculpin",3310,1347,277,74573,NA,NA,NA,NA,NA,1139,"Female",0.0094,NA,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Sonderborg Bugt",NA,"208",NA,1790,"2008-04-23T15:14:29.000Z",1790,"2008-04-23T15:16:20.000Z",NA,NA,NA,1329
"Myoxocephalus scorpius","SCULSHRN","Shorthorn sculpin",3311,1347,277,74573,NA,NA,NA,NA,NA,204,"Male",0.0158,NA,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Koge Bugt",NA,"208",NA,1790,"2008-04-23T15:20:14.000Z",NA,"2008-04-23T15:20:14.000Z",NA,NA,NA,1329
"Myoxocephalus scorpius","SCULSHRN","Shorthorn sculpin",3313,1347,277,74573,NA,NA,NA,NA,NA,780,"Male",0.0343,NA,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Limfjord",NA,"208",NA,1790,"2008-04-23T15:18:49.000Z",NA,"2008-04-23T15:18:49.000Z",NA,NA,NA,1329
"Myoxocephalus scorpius","SCULSHRN","Shorthorn sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myoxocephalus scorpius","SCULSHRN","Shorthorn sculpin",3309,1347,277,74573,NA,NA,NA,NA,NA,1054,"Female",0.0093,NA,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Limfjord",NA,"208",NA,1790,"2008-04-23T15:18:09.000Z",NA,"2008-04-23T15:18:09.000Z",NA,NA,NA,1329
"Myoxocephalus scorpius","SCULSHRN","Shorthorn sculpin",3312,1347,277,74573,NA,NA,NA,NA,NA,1028,"Male",0.0279,NA,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Sonderborg Bugt",NA,"208",NA,1790,"2008-04-23T15:17:23.000Z",NA,"2008-04-23T15:17:23.000Z",NA,NA,NA,1329
"Myoxocephalus scorpius","SCULSHRN","Shorthorn sculpin",3308,1347,277,74573,NA,NA,NA,NA,NA,100,"Female",0.0074,NA,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Koge Bugt",NA,"208",NA,1790,"2008-04-23T15:19:31.000Z",NA,"2008-04-23T15:19:31.000Z",NA,NA,NA,1329
"Myoxocephalus scorpius","SCULSHRN","Shorthorn sculpin",3307,1347,277,268,12,35,"TL",NA,NA,311,"unsexed",0.0126,0.0126,3.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Moray Firth, Buchan & Danish Coast",NA,"826",NA,2,"1991-05-30T00:00:00.000Z",NA,"1993-06-01T00:00:00.000Z",NA,NA,NA,1329
"Myoxocephalus scorpius","SCULSHRN","Shorthorn sculpin",39085,1347,277,106276,2.5,33.5,"TL",NA,NA,938,"unsexed",0.0114,NA,3.1036,0.971,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","North Sea / 1995-2008",NA,NA,NA,65,"2016-12-19T00:00:00.000Z",NA,"2016-12-19T00:00:00.000Z",NA,NA,NA,1329
"Myoxocephalus stelleri","SCULFRO","Frog sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myoxocephalus stelleri","SCULFRO","Frog sculpin",40262,13387,NA,115020,11,62,"FL",NA,NA,166,"unsexed",0.01069,NA,3.12,0.96,NA,NA,NA,NA,0.00767,0.01491,3.02,3.21,"Type I linear regression","Sea of Okhotsk",NA,"643",NA,65,"2017-05-23T00:00:00.000Z",NA,"2017-05-23T00:00:00.000Z",NA,NA,NA,13065
"Mytilus trossulus","MUSSELBL","Blue mussel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neomysis mercedes","MYSIDOP","opossum mysid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oligocottus rimensis","SCULSAD","Saddleback sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oligocottus snyderi","SCULFLU","Fluffy sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oligocottus snyderi","SCULFLU","Fluffy sculpin",40942,4327,NA,115897,3.56,5.48,"SL",NA,NA,55,"unsexed",0.0116,NA,3.404,0.947,NA,NA,NA,NA,NA,NA,3.18,3.628,"Type I linear regression","Baja California peninsula / 2006-2008",NA,"484",NA,65,"2017-09-12T00:00:00.000Z",NA,"2017-09-12T00:00:00.000Z",NA,NA,NA,4131
"Onchidoris bilamellata","NUDRM","Rough mantled nudibranch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",4996,2884,76,3672,NA,NA,"FL",NA,NA,NA,"unsexed",0.0157,NA,2.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Oregon, streams",3852,"840","winter",3,"1992-06-20T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",4993,2884,76,3672,NA,NA,"FL",NA,NA,NA,"unsexed",0.00652,NA,3.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","California",NA,"840",NA,3,"2011-06-01T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",4995,2884,76,3672,NA,NA,"FL",NA,NA,NA,"unsexed",0.0123,NA,2.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Oregon, streams",3852,"840","summer",3,"1992-06-20T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",4997,2884,76,3672,NA,NA,"SL",NA,NA,351,"unsexed",0.0208,NA,2.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Henry's Lake, Idaho",3842,"840","trout",3,"1992-06-20T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",4994,2884,76,3672,NA,NA,"TL",NA,NA,NA,"unsexed",0.00865,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Yellowstone Lake, Arnica C., Wyoming",1794,"840",NA,3,"1992-06-20T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",40894,2884,NA,116078,NA,NA,"FL",NA,NA,348,"mixed",0.00995,NA,2.93,0.94,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Bear Lake, Utah-Idaho, 1992-1995",116078,NA,NA,3,"2017-08-31T00:00:00.000Z",NA,"2017-08-31T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",4990,2884,76,1883,NA,NA,NA,NA,NA,NA,"unsexed",0.0065,NA,3.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Blue Lake, California",3346,"840",NA,3,"1992-05-06T00:00:00.000Z",3,"1995-09-18T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",4991,2884,76,3672,NA,NA,"TL",NA,"yes",NA,"unsexed",0.00105,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Pathfinder Lake, Wyoming",3841,"840",NA,3,"1992-06-20T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",4998,2884,76,3672,NA,NA,"SL",NA,NA,241,"unsexed",0.029,NA,2.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Logan River, Utah",3827,"840","trout",3,"1992-06-19T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus clarkii","CUTTHRT","Cutthroat trout",4992,2884,76,3672,NA,NA,"TL",NA,NA,426,"juvenile",0.00649,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Trapper's Lake, Colorado",NA,"840","juveniles",3,"2011-06-01T00:00:00.000Z",3,"2012-03-15T00:00:00.000Z",NA,NA,NA,2688
"Oncorhynchus mykiss","STEELHD","Steelhead trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus mykiss","STEELHD","Steelhead trout",10410,253,76,88163,24.4,35.7,"TL",NA,NA,39,"mixed",0.004,NA,3.29,0.92,NA,NA,NA,NA,NA,NA,2.96,3.61,"type I linear regression","Seyhan Dam, 2006-2015",88163,"792",NA,3,"2011-11-17T00:00:00.000Z",NA,"2011-11-17T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",10424,253,76,88166,12,62.5,"TL",NA,NA,97,"unsexed",0.0209,NA,2.843,0.98,NA,NA,NA,NA,0.0157,0.0279,2.757,2.929,"type I linear regression","Flanders (Yser, Scheldt and Meuse drainage basin), 1992-2009",88166,"056",NA,3,"2011-11-17T00:00:00.000Z",NA,"2011-11-17T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",8526,253,76,59087,33,65,"TL",NA,NA,111,"mixed",0.0089,NA,3.096,0.90821,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression",NA,59087,"364",NA,3,"2008-11-17T00:00:00.000Z",65,"2011-07-15T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1086,253,76,3672,NA,NA,"FL",NA,"yes",NA,"unsexed",0.00034,NA,3.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Pine Flat Lake, California",3861,"840",NA,3,"2011-06-01T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1087,253,76,3672,NA,NA,"FL",NA,"yes",NA,"unsexed",0.00055,NA,3.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Beardsley Reservoir, California",3861,"840",NA,3,"2011-06-01T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1088,253,76,3672,NA,NA,"FL",NA,"yes",NA,"unsexed",0.00251,NA,2.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Castle Lake, California",3861,"840",NA,3,"1992-06-21T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1094,253,NA,85455,20.35,43.28,"TL",NA,NA,NA,"unsexed",0.0168,NA,2.903,0.999,NA,NA,NA,NA,0.0078,0.0258,2.802,3.004,"type I linear regression","freshwaters",85455,"191",NA,3,"2011-05-18T00:00:00.000Z",NA,"2011-05-18T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1090,253,76,3672,32.5,69.1,"FL",NA,NA,484,"unsexed",0.0101,NA,3.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Sacramento River, California",3871,"840","steelhead",3,"1992-06-21T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1091,253,76,13427,16.5,34.8,"FL",NA,NA,3,"unsexed",0.0118,NA,3.006,0.998,NA,NA,NA,NA,NA,NA,NA,NA,"other","Guy Fawkes River, New South Wales",13427,"036","from mean length-weight pairs in table 1.",3,"2001-02-17T00:00:00.000Z",NA,"2017-02-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1092,253,76,36979,NA,NA,"SL",NA,NA,NA,"mixed",0.00448,NA,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Arroyo San Rafael",36979,"484",NA,3,"2001-02-15T00:00:00.000Z",NA,"2015-02-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1089,253,76,3672,NA,NA,"SL",NA,NA,NA,"unsexed",0.00539,NA,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Utah",3853,"840",NA,3,"1992-06-20T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1085,253,76,3672,NA,79.5,"FL",NA,"yes",121,"unsexed",0.00029,NA,2.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Pathfinder Lake, Wyoming",NA,"840",NA,3,"2011-06-01T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1083,253,76,3672,NA,NA,"FL",NA,"yes",NA,"female",0.0575,NA,2.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Washington",NA,"840","selected stock: mature females",3,"2011-06-01T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1093,253,76,37041,NA,NA,"FL",NA,NA,96,"unsexed",0.0137,NA,2.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Stokely Creek, eastern Lake Superior",37041,"124",NA,3,"2001-02-21T00:00:00.000Z",NA,"2021-02-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus mykiss","STEELHD","Steelhead trout",1084,253,76,3672,NA,NA,"FL",NA,"yes",NA,"male",0.177,NA,2.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Washington",NA,"840","selected stock: January",3,"2011-06-01T00:00:00.000Z",3,"2011-06-01T00:00:00.000Z",NA,NA,NA,239
"Oncorhynchus nerka","SALSOCK","Sockeye salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus nerka","SALSOCK","Sockeye salmon",1104,257,76,6323,71,71,"TL",NA,NA,1,"unsexed",0.01922,0.01922,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3",NA,NA,NA,"Estimated from data given in Reference.",1,"1999-06-17T00:00:00.000Z",NA,"1999-06-17T00:00:00.000Z",NA,NA,NA,243
"Oncorhynchus nerka","SALSOCK","Sockeye salmon",1103,257,76,6323,65,65,"TL",NA,NA,1,"unsexed",0.01555,0.01555,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3",NA,NA,NA,"Estimated from data given in Reference.",1,"1999-06-17T00:00:00.000Z",NA,"1999-06-17T00:00:00.000Z",NA,NA,NA,243
"Oregonia gracilis","CRABGD","Graceful decorator crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Osmeridae","UNSMELT","Juvenile smelt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oxylebius pictus","GREENPAI","Painted greenling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagarus granosimanus","CRABGH","Grainyhand hermit crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagurus spp.","CRABHER","Hermit crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pandalus hypsinotus","SHRMCOO","Coonstripe shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pandalus platyceros","SHRMSPO","Spot prawn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleuronectes quadrituberculatus","PLAICEAK","Alaska plaice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pleuronectes quadrituberculatus","PLAICEAK","Alaska plaice",5909,4446,440,80637,30,57,"TL",NA,NA,39,"Female",0.00589,NA,3.22,0.942,NA,NA,NA,NA,NA,NA,2.95,3.48,"type I linear regression","western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,"643",NA,3,"2009-04-01T00:00:00.000Z",NA,"2011-05-19T00:00:00.000Z",NA,NA,NA,4250
"Pleuronectes quadrituberculatus","PLAICEAK","Alaska plaice",5910,4446,440,80637,26,46,"TL",NA,NA,29,"Male",0.0128,NA,2.99,0.939,NA,NA,NA,NA,NA,NA,2.69,3.29,"type I linear regression","western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,"643",NA,3,"2009-04-01T00:00:00.000Z",NA,"2011-05-19T00:00:00.000Z",NA,NA,NA,4250
"Pleuronectes quadrituberculatus","PLAICEAK","Alaska plaice",5907,4446,440,56527,23,53,"TL",NA,NA,530,"Mixed",0.01138,0.01138,3.0362,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Sea of Japan",NA,"643",NA,1287,"2006-03-23T19:00:44.000Z",NA,"2006-03-23T19:00:44.000Z",NA,NA,NA,4250
"Pleuronectes quadrituberculatus","PLAICEAK","Alaska plaice",5908,4446,440,56527,21,61,"TL",NA,NA,2082,"Mixed",0.01315,0.01315,2.9964,NA,NA,NA,NA,NA,NA,NA,NA,NA,"type I linear regression","Eastern Bering Sea",NA,"840",NA,1287,"2006-03-23T19:01:32.000Z",NA,"2006-03-23T19:01:32.000Z",NA,NA,NA,4250
"Psettichthys melanostictus","SOLESAN","Sand sole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psychrolutes paradoxus","SCULTAD","Tadpole sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Psychrolutes sigalutes","SCULSOFT","Soft sculpin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pugettia gracilis","CRABGKE","Graceful kelp crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pugettia producta, Majidae","CRABNKE","Northern kelp crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pugettia richii","CRABCKE","Cryptic kelp crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pycnopodia helianthoides","STARPYCN","Pycnopodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raja binoculata","SKATEBIG","Big skate",4899,2752,19,40637,183,183,"TL",NA,NA,1,"unsexed",0.00675,0.00675,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single L-W pair with b=3",NA,NA,NA,"L-W relationship calculated from data in Ref. 40637.",3,"2002-04-12T00:00:00.000Z",NA,"2002-04-13T00:00:00.000Z",NA,NA,NA,2556
"Raja binoculata","SKATEBIG","Big skate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhinogobiops nicholsii","GOBYBE","Blackeye goby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rimicola muscarum","CLINGFKE","Kelp clingfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ronquilus jordani","RONQLNOR","Northern ronquil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saduria sp.","ISOPODSA","Isopod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmoninae","UNTROUT","Juvenile trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmoninae","UNSAL","Juvenile salmonid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scorpaenidae","UNROCK","Juvenile rockfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sebastes ciliatus","ROCKDRK","Dark rockfish",5778,4156,573,40637,41.9,50.8,"TL",NA,NA,2,"unsexed",0.0175,0.0175,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"several L-W pairs with b=3",NA,NA,NA,"L-W relationship calculated from data in Ref. 40637.",3,"2002-04-13T00:00:00.000Z",NA,"2002-04-13T00:00:00.000Z",NA,NA,NA,3960
"Sebastes ciliatus","ROCKDRK","Dark rockfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sebastes emphaeus","ROCKPUG","Puget Sound rockfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
