SpCommon,SpScientific,Family,Order,SpCode,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,Locality,DataRef,C_Code,Comment,Entered
Sailfin sculpin,Nautichthys oculofasciatus,Hemitripteridae,Scorpaeniformes,SFSCUL,,,,,,,,0.00447,,3.11,,,,,,0.00172,0.01163,2.89,3.33,Bayesian,,fishbase - Bayesian,,,
Pygmy poacher,Odontopyxis trispinosa,Agonidae,Scorpaeniformes,PYGPOA,,,,,,,,0.00389,,3.12,,,,,,0.0018,0.00842,2.94,3.3,Bayesian,,fishbase - Bayesian,,,
Tidepool sculpin,Oligocottus maculosus,Cottidae,Scorpaeniformes,TIDSCUL,,,,,,,,0.00708,,3.13,,,,,,0.00269,0.01692,2.92,3.34,Bayesian,,fishbase - Bayesian,,,
Saddleback sculpin,Oligocottus rimensis,Cottidae,Scorpaeniformes,SADSCUL,,,,,,,,0.00708,,3.13,,,,,,,,,,,,,,,
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,TL,NA,yes,NA,unsexed,0.00105,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Pathfinder Lake, Wyoming",3841,840,NA,3
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,TL,NA,NA,426,juvenile,0.00649,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Trapper's Lake, Colorado",NA,840,juveniles,3
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,NA,NA,NA,NA,unsexed,0.0065,NA,3.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Blue Lake, California",3346,840,NA,3
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,FL,NA,NA,NA,unsexed,0.00652,NA,3.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,California,NA,840,NA,3
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,TL,NA,NA,NA,unsexed,0.00865,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Yellowstone Lake, Arnica C., Wyoming",1794,840,NA,3
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,FL,NA,NA,348,mixed,0.00995,NA,2.93,0.94,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Bear Lake, Utah-Idaho, 1992-1995",116078,NA,NA,3
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,FL,NA,NA,NA,unsexed,0.0123,NA,2.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Oregon, streams",3852,840,summer,3
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,FL,NA,NA,NA,unsexed,0.0157,NA,2.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Oregon, streams",3852,840,winter,3
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,SL,NA,NA,351,unsexed,0.0208,NA,2.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Henry's Lake, Idaho",3842,840,trout,3
Cutthroat trout,Oncorhynchus clarkii,Salmonidae,Salmoniformes,CUTTH,NA,NA,SL,NA,NA,241,unsexed,0.029,NA,2.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Logan River, Utah",3827,840,trout,3
Pink salmon,Oncorhynchus gorbuscha,Salmonidae,Salmoniformes,PINKSAL,,,,,,,unsexed,0.00336,,3.3,,,,,,,,,,type I linear regression,Sea of Okhotsk,7231,643,,3
Pink salmon,Oncorhynchus gorbuscha,Salmonidae,Salmoniformes,PINKSAL,,,FL,,,,Mixed,0.024,0.02198,3.2,,,,,,,,,,type I linear regression,1955-1957,,124C,Given as log w = -3.747 + 3.2 log l; apparently natural logarithm was used. Estimate was done by plot on double-logarithmic paper.,1
Chum salmon,Oncorhynchus keta,Salmonidae,Salmoniformes,CHUMSAL,101,101,TL,,,1,unsexed,0.01408,0.01408,3,,,,,,,,,,single L-W pair with b=3,,,,Estimated from data given in Reference.,1
Chum salmon,Oncorhynchus keta,Salmonidae,Salmoniformes,CHUMSAL,,,FL,,,,Mixed,0.023,0.02179,3.2,,,,,,,,,,type I linear regression,1955-1957,,124C,Given as log w = -3.780 + 3.2 log l; apparently natural logarithm was used. Estimate was done by plot on double-logarithmic paper.,1
Coho salmon,Oncorhynchus kisutch,Salmonidae,Salmoniformes,COHOSAL,98,98,TL,no,,1,unsexed,0.0112,0.0112,3,,,,,,,,,,single L-W pair with b=3,,,,Estimated using data in Ref.,1
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,NA,79.5,FL,NA,yes,121,unsexed,0.00029,NA,2.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Pathfinder Lake, Wyoming",NA,840,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,NA,NA,FL,NA,yes,NA,unsexed,0.00034,NA,3.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Pine Flat Lake, California",3861,840,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,NA,NA,FL,NA,yes,NA,unsexed,0.00055,NA,3.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Beardsley Reservoir, California",3861,840,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,NA,NA,FL,NA,yes,NA,unsexed,0.00251,NA,2.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Castle Lake, California",3861,840,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,24.4,35.7,TL,NA,NA,39,mixed,0.004,NA,3.29,0.92,NA,NA,NA,NA,NA,NA,2.96,3.61,type I linear regression,"Seyhan Dam, 2006-2015",88163,792,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,NA,NA,SL,NA,NA,NA,mixed,0.00448,NA,2.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Arroyo San Rafael,36979,484,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,NA,NA,SL,NA,NA,NA,unsexed,0.00539,NA,3.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Utah,3853,840,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,33,65,TL,NA,NA,111,mixed,0.0089,NA,3.096,0.90821,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,NA,59087,364,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,32.5,69.1,FL,NA,NA,484,unsexed,0.0101,NA,3.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Sacramento River, California",3871,840,steelhead,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,16.5,34.8,FL,NA,NA,3,unsexed,0.0118,NA,3.006,0.998,NA,NA,NA,NA,NA,NA,NA,NA,other,"Guy Fawkes River, New South Wales",13427,36,from mean length-weight pairs in table 1.,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,NA,NA,FL,NA,NA,96,unsexed,0.0137,NA,2.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Stokely Creek, eastern Lake Superior",37041,124,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,20.35,43.28,TL,NA,NA,NA,unsexed,0.0168,NA,2.903,0.999,NA,NA,NA,NA,0.0078,0.0258,2.802,3.004,type I linear regression,freshwaters,85455,191,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,12,62.5,TL,NA,NA,97,unsexed,0.0209,NA,2.843,0.98,NA,NA,NA,NA,0.0157,0.0279,2.757,2.929,type I linear regression,"Flanders (Yser, Scheldt and Meuse drainage basin), 1992-2009",88166,56,NA,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,NA,NA,FL,NA,yes,NA,female,0.0575,NA,2.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Washington,NA,840,selected stock: mature females,3
Steelhead trout,Oncorhynchus mykiss,Salmonidae,Salmoniformes,STEEL,NA,NA,FL,NA,yes,NA,male,0.177,NA,2.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Washington,NA,840,selected stock: January,3
Sockeye salmon,Oncorhynchus nerka,Salmonidae,Salmoniformes,SOCKSAL,65,65,TL,NA,NA,1,unsexed,0.01555,0.01555,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from data given in Reference.,1
Sockeye salmon,Oncorhynchus nerka,Salmonidae,Salmoniformes,SOCKSAL,71,71,TL,NA,NA,1,unsexed,0.01922,0.01922,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from data given in Reference.,1
Chinook salmon,Oncorhynchus tshawytscha,Salmonidae,Salmoniformes,CHINSAL,149,149,TL,,,1,unsexed,0.01333,0.01333,3,,,,,,,,,,single L-W pair with b=3,,,,Estimated from data given in Reference.,1
Lingcod,Ophiodon elongatus,Hexagrammidae,Scorpaeniformes,LINGCOD,133,133,TL,,,1,unsexed,0.0133,0.0133,3,,,,,,,,,,single L-W pair with b=3,,,,Estimated from data given in Reference.,1
Painted greenling,Oxylebius pictus,Hexagrammidae,Scorpaeniformes,PAGREEN,,,,,,,,0.01122,,3.04,,,,,,,,,,,,,,,
Tubenose poacher,Pallasina barbata,Agonidae,Scorpaeniformes,TUBEPOA,,,,,,,,0.00389,,3.12,,,,,,0.0018,0.00842,2.94,3.3,Bayesian,,fishbase - Bayesian,,,
English sole,Parophrys vetulus,Pleuronectidae,Pleuronectiformes,ENGSOLE,,,,,,159,unsexed,0.00383,,3.127,0.9409,,,,,,,,,type I linear regression,"North Puget Sound, Washington",4511,840,,3
English sole,Parophrys vetulus,Pleuronectidae,Pleuronectiformes,ENGSOLE,22,55,TL,no,,1643,Mixed,0.01429,0.01429,2.9036,,,,,,,,,,type I linear regression,Strait of Georgia,,124C,,1287
Crescent gunnel,Pholis laeta,Pholidae,Perciformes,CREGUNN,,,,,,,,0.00182,,3.15,,,,,,0.00071,0.00463,2.93,3.37,Bayesian,,Fishbase - Bayesian,,,
Starry flounder,Platichthys stellatus,Pleuronectidae,Pleuronectiformes,STFLOUN,54.1,51.4,TL,,,1,unsexed,0.0125,0.0125,3,,,,,,,,,,single L-W pair with b=3,,,NA,L-W relationship calculated from data in Ref. 40637.,3
Starry flounder,Platichthys stellatus,Pleuronectidae,Pleuronectiformes,STFLOUN,27,64,TL,,,263,Mixed,0.00359,0.00359,3.3433,,,,,,,,,,type I linear regression,Br. Columbia,,124C,,1287
Starry flounder,Platichthys stellatus,Pleuronectidae,Pleuronectiformes,STFLOUN,22,51,TL,,,297,Mixed,0.01531,0.01531,2.9993,,,,,,,,,,type I linear regression,Sea of Japan,,643,,1287
Starry flounder,Platichthys stellatus,Pleuronectidae,Pleuronectiformes,STFLOUN,17.6,48.5,TL,,,250,unsexed,0.0121,,3.081,0.96,,,,,,,,,Type I linear regression,Gyeongsangbuk-do coast / 2011-2012,,410,,65
Alaska plaice,Pleuronectes quadrituberculatus,Pleuronectidae,Pleuronectiformes,AKPLAIC,30,57,TL,NA,NA,39,Female,0.00589,NA,3.22,0.942,NA,NA,NA,NA,NA,NA,2.95,3.48,type I linear regression,"western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,643,NA,3
Alaska plaice,Pleuronectes quadrituberculatus,Pleuronectidae,Pleuronectiformes,AKPLAIC,23,53,TL,NA,NA,530,Mixed,0.01138,0.01138,3.0362,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Sea of Japan,NA,643,NA,1287
Alaska plaice,Pleuronectes quadrituberculatus,Pleuronectidae,Pleuronectiformes,AKPLAIC,26,46,TL,NA,NA,29,Male,0.0128,NA,2.99,0.939,NA,NA,NA,NA,NA,NA,2.69,3.29,type I linear regression,"western Bering Sea (Russian EEZ and within 54°-60°N, 164°E-177°W), 1990; 1995-98",80637,643,NA,3
Alaska plaice,Pleuronectes quadrituberculatus,Pleuronectidae,Pleuronectiformes,AKPLAIC,21,61,TL,NA,NA,2082,Mixed,0.01315,0.01315,2.9964,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,Eastern Bering Sea,NA,840,NA,1287
C-O sole,Pleuronichthys coenosus,Pleuronectidae,Pleuronectiformes,COSOLE,,,,,,,,0.00912,,3.09,,,,,,0.00453,0.01836,2.93,3.25,Bayesian,,fishbase - Bayesian,,,
Sturgeon poacher,Podothecus accipenserinus,Agonidae,Scorpaeniformes,STURPOA,,,,,,,,0.00389,,3.12,,,,,,,,,,Bayesian,,,,,
Soft sculpin,Psychrolutes sigalutes,Cottidae,Scorpaeniformes,SOFSCUL,,,,,,,,,,,,,,,,,,,,,,,,,
Blackeye goby,Rhinogobiops nicholsii,Oxudercidae,Gobbiiformes,BEGOBY,,,,,,,,0.00871,,3.09,,,,,,,,,,,,,,,
Northern ronquil,Ronquilus jordani,Bathymasteridae,Perciformes,NRONQL,,,,,,,,0.00389,,3.12,,,,,,,,,,,,,,,
Dolly Varden,Salvelinus malma,Salmonidae,Salmoniformes,DOLLY,,,,,,,,0.00537,,3.03,,,,,,,,,,,,,,,
Brown rockfish,Sebastes auriculatus,Sebastidae,Scorpaeniformes,BROROCK,,,,,,,,0.01023,,3.07,,,,,,0.00488,0.02145,2.9,3.24,Bayesian,,fishbase - Bayesian,,,
Copper rockfish,Sebastes caurinus,Sebastidae,Scorpaeniformes,COPROCK,,,,26.4,,,both,0.0172,,3.018,,,,,,,,,,unsure,,"Colton and Larson, 2007",,,
Dark rockfish,Sebastes ciliatus,Sebastidae,Scorpaeniformes,DRKROCK,,,,,,,,,,,,,,,,,,,,,,,,,
Yellowtail rockfish,Sebastes flavidus,Sebastidae,Scorpaeniformes,YTROCK,55,55,TL,NA,NA,1,unsexed,0.01509,0.01509,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from data given in Reference.,1
Quillback rockfish,Sebastes maliger,Sebastidae,Scorpaeniformes,QUIROCK,48,48,TL,,,1,unsexed,0.02966,,3,,,,,,,,,,Bayesian,,fishbase - Bayesian,,,
Quillback rockfish,Sebastes maliger,Sebastidae,Scorpaeniformes,QUIROCK,48,48,TL,,,1,unsexed,0.02966,0.02966,3,,,,,,,,,,single L-W pair with b=3,,,,Estimated from data given in Reference.,1
Black rockfish,Sebastes melanops,Sebastidae,Scorpaeniformes,BLAROCK,60,60,TL,,,1,unsexed,0.02111,0.02111,3,,,,,,,,,,single L-W pair with b=3,,,,Estimated from data given in Reference.,1
China rockfish,Sebastes nebulosus,Sebastidae,Scorpaeniformes,CHIROCK,42,42,TL,NA,NA,1,unsexed,0.02254,0.02254,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from data given in Reference.,1
Bocaccio,Sebastes paucispinis,Sebastidae,Scorpaeniformes,BOCA,90,90,TL,NA,NA,1,unsexed,0.01321,0.01321,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from data given in Reference.,1
Arctic shanny,Stichaeus punctatus,Stichaeidae,Perciformes,ASHANNY,,,,,,,,0.00407,,3.1,,,,,,,,,,,,,,,
Manacled sculpin,Synchirus gilli,Cottidae,Scorpaeniformes,MANSCUL,,,,,,,,0.00708,,3.13,,,,,,0.00296,0.01692,2.92,3.34,Bayesian,,fishbase - Bayesian,,,
Bay pipefish,Syngnathus leptorhynchus,Syngnathidae,Syngnathiformes,BAYPIPE,6.8,38.5,TL,,,57,mixed,0.0002,,3.12,,,,,,,,,,Type I linear regression,"Yaquina estuary, Oregon (44°38'N, 124°13'W), 1975-76",93899,840,Only 2 pipefish were over 34. cm; the regression equation underestimates weight of the largest fish.,3
Eulachon,Thaleichthys pacificus,Osmeridae,Osmeriformes,EULAC,,,,,,,,0.00437,,3.11,,,,,,,,,,,,,,,
Pacific sandfish,Trichodon trichodon,Trichodontidae,Trachiniformes,PSANDF,,,,,,,,0.00389,,3.12,,,,,,,,,,,,,,,
Unknown Cod,Unknown Cod,Gadidae,Gadiformes,UNCOD,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown flatfish,Unknown flatfish,Pleuronectidae,Pleuronectiformes,UNFLAT,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Greenling,Unknown Greenling,Hexagrammidae,Scorpaeniformes,UNGREEN,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Gunnel,Unknown Gunnel,Pholidae,Perciformes,UNGUNN,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown larval fish,Unknown larval fish,Unknown larval fish,Unknown larval fish,UNLARV,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Lumpsucker,Unknown Lumpsucker,Cyclopteridae,Scorpaeniformes,UNLUMP,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Prickleback,Unknown Prickleback,Stichaeidae,Perciformes,UNPRICK,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Rockfish,Unknown Rockfish,Sebastidae,Scorpaeniformes,UNROCK,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Ronquil,Unknown Ronquil,Bathymasteridae,Perciformes,UNRONQL,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown sculpin,Unknown sculpin,Cottidae,Scorpaeniformes,UNSCUL,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Smelt,Unknown Smelt,Osmeridae,Osmeriformes,UNSMELT,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Snailfish,Unknown Snailfish,Liparidae,Scorpaeniformes,UNSNAILF,,,,,,,,,,,,,,,,,,,,,,,,,
