site,collection_date,YYYYMMDD,quadrat,plant,rhi_length,node1,node2,node3,node4,node5,leaf_length1,leaf_length2,leaf_length3,leaf_length4,leaf_length5,leaf_length6,leaf_length7,leaf_length8,leaf_length9,leaf_length10,leaf_width1,leaf_width2,leaf_width3,leaf_width4,leaf_width5,leaf_width6,leaf_width7,leaf_width8,leaf_width9,leaf_width10,pad_mass_g,pad_epiphyte_mass_g,rhi_mass_fw,rhi_foil,rhi_foil_dw_g,shoot_mass_fw,shoot_foil,shoot_foil_dw,xs_shoot_mass_fw,xs_shoot_foil,xs_shoot_foil_dw,xs_pad_mass_g,xs_epiphyte_pad_mass_g,iso_count,iso_fw,iso_foil,iso_foil_dw,gamm_amph_count,gamm_amph_fw,gamm_amph_foil,gamm_amph_foil_dw,caprel_count,caprel_fw,caprel_foil,caprel_foil_dw,limpet_count,limpet_fw,limpet_foil,limpet_foil_dw,gastropod_count,gastropod_fw,gastropod_foil,gastropod_foil_dw,crab_count,crab_fw,crab_foil,crab_foil_dw,polychaete_count,other_animal_notes,notes
2017_H_02,28/5/17,20170528,7,4,5.0,1.3,0.7,0.5,0.5,0.5,40.6,35.6,44.4,19.5,38.2,,,,,,0.5,0.5,0.5,0.5,0.4,,,,,,0.7345,0.7451,0.7124,1.2078,1.2853,1.5269,1.0948,1.2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,7,5,5.0,1.0,1.0,0.5,0.5,0.4,23.2,40.8,28.4,40.6,10.0,26.1,,,,,0.4,0.5,0.5,0.5,0.4,0.5,,,,,0.6571,0.6678,1.0297,1.2996,1.4180,1.4653,1.0877,1.2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,8,1,5.0,1.5,0.6,0.6,0.6,0.3,21.5,46.2,38.4,20.4,47.6,39.0,,,,,0.4,0.4,0.5,0.5,0.5,0.4,,,,,0.6377,0.6500,1.2299,1.1715,1.3076,1.8833,1.3663,1.5911,23.4350,1.3539,3.7146,,,1,0.1964,0.491,0.5446,,,,,,,,,2,0.0168,0.3507,0.3559,,,,,,,,,9,,
2017_H_02,28/5/17,20170528,8,2,5.0,1.8,1.2,0.6,0.4,0.3,42.4,47.6,45.0,27.2,57.2,,,,,,0.4,0.4,0.5,0.5,0.6,,,,,,0.6633,0.6737,1.1760,1.3489,1.4522,1.9798,1.2220,1.4657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,8,3,5.0,1.6,1.0,0.6,1.0,,50.8,58.8,46.6,57.2,27.6,,,,,,0.4,0.5,0.6,0.6,0.5,,,,,,0.6851,0.6915,0.8320,0.9651,1.0551,2.5394,1.1278,1.4347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,8,4,5.0,1.0,2.0,0.7,0.6,0.5,38.0,53.8,25.8,51.6,45.8,,,,,,0.4,0.5,0.5,0.5,0.5,,,,,,0.6426,0.6496,1.0808,1.0312,1.1410,1.8260,1.0742,1.3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_02,28/5/17,20170528,8,5,5.0,1.0,1.0,0.4,0.6,0.4,26.4,48.2,28.0,43.0,43.8,,,,,,0.4,0.5,0.5,0.5,0.4,,,,,,0.6230,0.6326,0.6234,1.0835,1.1565,1.7844,1.1172,1.3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,1,1,5.0,2.1,,,,,79.9,100.2,35.2,70.0,84.9,14.0,21.8,,,,0.7,0.7,0.6,0.7,0.7,0.4,0.4,,,,0.6008,0.6075,0.6985,1.2099,1.3012,5.2975,1.5403,2.2971,31.3858,5.3852,8.6241,,,,,,,1,0.0075,0.4715,0.4728,,,,,11,0.6092,0.5150,0.7001,2,0.0056,0.5375,0.5395,,,,,9,,
2017_H_03,25/6/17,20170625,1,2,5.0,1.7,2.1,,,,101.8,84.0,88.1,72.3,20.2,40.2,29.8,5.7,,,0.6,0.6,0.6,0.6,0.3,0.5,0.4,0.3,,,0.6907,0.6984,0.7154,1.0636,1.1532,5.0919,1.5951,2.2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,1,3,5.0,1.1,1.7,2.4,,,78.6,97.8,82.4,70.8,33.6,17.2,40.0,,,,0.6,0.6,0.6,0.6,0.4,0.5,0.4,,,,0.6291,0.6375,1.0270,1.0712,1.1881,4.9208,1.5059,2.1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,1,4,5.0,0.9,2.0,1.7,,,81.6,58.1,93.6,23.7,16.5,23.5,19.8,73.3,3.0,,0.6,0.6,0.6,0.5,0.3,0.3,0.5,0.6,0.3,,0.6727,0.6784,0.7272,1.2706,1.6390,4.3189,1.5792,2.1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,1,5,5.0,1.3,2.0,,,,12.3,102.7,80.4,93.2,18.2,,,,,,0.6,0.6,0.6,0.6,0.5,,,,,,0.7394,0.7462,0.6803,1.1678,1.2616,5.4741,1.1877,1.9435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,2,1,5.0,1.0,1.3,1.9,,,77.9,74.2,42.8,35.6,74.1,,,,,,0.5,0.5,0.5,0.4,0.5,,,,,,0.6858,0.6879,0.4632,1.1306,1.1924,3.3027,1.0792,1.5118,15.5813,4.6406,6.1431,,,,,,,,,,,,,,,3,0.1664,0.4797,0.5234,1,0.0033,0.5667,0.5679,,,,,2,,
2017_H_03,25/6/17,20170625,2,2,5.0,1.3,2.0,1.7,,,69.8,45.2,65.6,71.2,13.6,,,,,,0.5,0.5,0.5,0.5,0.4,,,,,,0.6510,0.6530,0.4869,1.1569,1.2198,2.7678,1.1830,1.5332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,2,3,5.0,1.2,2.0,,,,76.0,34.0,101.6,54.9,67.8,88.4,70.3,13.2,12.6,,0.5,0.6,0.6,0.5,0.4,0.5,0.5,0.3,0.3,,0.6254,0.6278,0.5052,1.2372,1.3046,5.2377,1.3337,2.0791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,2,4,5.0,1.1,1.7,1.7,,,25.0,32.4,21.0,27.5,32.2,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,0.6646,0.6664,0.5042,1.0360,1.1016,2.0261,1.2793,1.5190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,2,5,5.0,2.0,2.2,,,,52.0,40.0,44.6,7.3,40.4,49.4,50.4,,,,0.6,0.6,0.6,0.3,0.5,0.5,0.5,,,,0.6443,0.6455,0.5223,1.1473,1.2183,3.5098,1.0265,1.4437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,3,1,5.0,1.2,1.5,1.1,0.7,,88.1,62.6,46.8,57.6,9.0,9.2,,,,,0.4,0.5,0.4,0.4,0.2,0.3,,,,,0.6569,0.6570,0.4663,1.1498,1.2161,2.4752,1.0404,1.3529,23.6901,5.0068,7.4121,,,,,,,2,0.0069,0.5034,0.5035,2,0.0063,0.4820,0.4820,13,0.8388,0.5367,0.8013,1,0.0040,0.2788,0.2809,,,,,8,,
2017_H_03,25/6/17,20170625,3,2,5.0,1.4,1.4,2.1,,,60.2,40.1,4.4,77.8,78.4,,,,,,0.5,0.5,0.3,0.5,0.4,,,,,,0.6932,0.6937,0.5494,1.2115,1.2831,2.1812,1.0634,1.3709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,3,3,5.0,1.0,1.5,1.3,,,66.0,54.4,77.4,49.0,21.9,,,,,,0.5,0.4,0.5,0.5,0.4,,,,,,0.6513,0.6513,0.5667,1.2605,1.3322,2.3613,1.4258,1.7717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,3,4,5.0,0.9,1.6,2.3,,,45.2,10.8,65.2,66.6,53.4,39.1,,,,,0.5,0.4,0.5,0.5,0.5,0.5,,,,,0.6356,0.6356,0.6266,1.1906,1.2745,2.6720,1.2493,1.6324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,3,5,5.0,1.2,2.4,,,,93.2,70.8,102.5,74.4,23.4,6.6,19.2,,,,0.6,0.5,0.6,0.5,0.5,0.2,0.3,,,,0.6340,0.6341,0.4428,1.2694,1.3202,3.8961,1.1798,1.7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,4,1,5.0,1.5,2.7,,,,75.5,73.6,85.7,59.8,39.1,5.7,,,,,0.5,0.5,0.6,0.5,0.5,0.4,,,,,0.7356,0.7360,0.5848,1.1299,1.1946,3.4698,1.2252,1.7225,11.9845,4.8316,6.2201,,,,,,,5,0.0076,0.5700,0.5703,1,0.0011,0.3428,0.3429,6,0.3586,0.5983,0.6859,1,0.0012,0.3121,0.3126,,,,,13,,
2017_H_03,25/6/17,20170625,4,2,5.0,0.8,2.5,,,,77.2,96.3,26.2,85.5,92.8,45.2,,,,,0.6,0.6,0.6,0.6,0.6,0.6,,,,,0.7036,0.7036,0.7241,1.0979,1.1822,5.1874,1.1534,1.8856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,4,3,5.0,1.0,1.8,1.5,,,39.7,32.2,43.4,22.4,,,,,,,0.5,0.4,0.5,0.4,,,,,,,0.6735,0.6735,0.5323,1.2297,1.3095,1.4504,1.1891,1.3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,4,4,5.0,1.6,1.5,1.5,,,18.7,63.6,52.2,19.5,7.4,66.8,55.7,,,,0.4,0.5,0.5,0.3,0.3,0.5,0.5,,,,0.6965,0.6965,0.4936,1.2765,1.3400,2.8394,1.2831,1.6577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,4,5,4.5,0.4,0.9,1.2,1.1,0.7,74.6,58.5,22.7,62.7,37.1,,,,,,0.4,0.4,0.4,0.4,0.4,,,,,,0.6922,0.6922,0.5272,1.3089,1.3707,1.9763,1.1705,1.4395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,5,1,5.0,0.9,1.4,1.3,0.6,0.5,61.4,76.9,38.2,62.7,20.8,,,,,,0.4,0.4,0.4,0.4,0.3,,,,,,0.6306,0.6414,0.4879,1.1543,1.2199,1.7889,0.9641,1.2282,34.7831,4.8631,8.6627,,,1,0.0861,0.5014,0.535,,,,,,,,,14,0.7403,0.5338,0.7810,1,,0.5358,,,,,,3,,FW missing from gastropod
2017_H_03,25/6/17,20170625,5,2,5.0,2.0,2.7,,,,28.4,96.6,81.5,78.2,,,,,,,0.5,0.6,0.6,0.6,,,,,,,0.7207,0.7406,0.6439,0.9444,1.0191,3.6742,1.0982,1.5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,5,3,5.0,1.1,2.5,,,,74.1,62.3,96.3,65.0,30.5,85.8,,,,,0.6,0.6,0.7,0.6,0.6,0.6,,,,,0.7036,0.7061,0.7015,0.9800,1.0649,5.0741,1.4657,2.1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,5,4,5.0,1.6,2.4,,,,50.8,62.6,4.6,38.7,71.8,73.8,82.6,,,,0.6,0.6,0.3,0.5,0.6,0.6,0.6,,,,0.7770,0.7781,0.7121,1.1031,1.2035,4.3407,1.5202,2.1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,5,5,5.0,1.0,2.4,,,,63.4,63.4,22.7,87.3,82.5,,,,,,0.6,0.6,0.5,0.6,0.6,,,,,,0.6788,0.6788,0.4887,1.1350,1.1999,3.8879,1.3218,1.9626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,6,1,5.0,0.6,1.2,1.7,1.0,0.2,63.3,47.8,40.9,30.4,20.8,,,,,,0.4,0.5,0.4,0.4,0.4,,,,,,0.6805,0.6805,0.2699,1.1018,1.1382,1.5159,1.4336,1.6658,22.7350,4.4509,7.0560,,,2,0.5249,0.7021,0.8183,2,0.0046,0.4134,0.4135,1,0.0024,0.4734,0.4736,4,0.2325,0.4978,0.5644,,,,,,,,,5,1 barnacle,
2017_H_03,25/6/17,20170625,6,2,2.3,0.6,1.0,,,,4.1,33.4,43.4,26.6,,,,,,,0.3,0.4,0.4,0.4,,,,,,,0.6635,0.6635,0.1229,1.0732,1.0893,1.0941,1.3774,1.5153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,6,3,5.0,0.9,1.2,1.7,1.3,,51.0,58.9,7.7,34.8,61.0,,,,,,0.5,0.4,0.3,0.4,0.4,,,,,,0.8205,0.8210,0.5075,1.0376,1.1037,1.4930,1.2263,1.4503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,6,4,5.0,1.8,1.7,1.1,,,66.8,57.5,22.2,42.0,62.9,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,0.7326,0.7326,0.5263,1.0202,1.0815,2.0861,1.2966,1.5938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,6,5,5.0,1.2,2.0,,,,45.1,62.0,68.4,12.4,45.7,77.4,,,,,0.6,0.6,0.5,0.5,0.5,0.6,,,,,0.7105,0.7105,0.5638,1.1059,1.1774,3.2176,1.1667,1.6312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,7,1,5.0,0.7,1.3,1.0,,,34.0,64.4,78.8,34.3,8.7,29.0,,,,,0.5,0.5,0.5,0.5,0.4,0.5,,,,,0.7166,0.7222,0.4736,1.2012,1.2607,2.1250,1.2125,1.4673,17.9445,4.8950,6.6567,,,2,0.2857,0.6037,0.6899,8,0.0103,0.5237,0.5241,1,0.0028,0.4950,0.4951,11,0.3523,0.4052,0.5339,,,,,,,,,3,,
2017_H_03,25/6/17,20170625,7,2,5.0,2.1,,,,,19.1,82.2,57.9,80.4,19.7,,,,,,0.6,0.6,0.6,0.6,0.6,,,,,,0.6908,0.6908,0.5931,1.0893,1.1584,3.1468,1.2857,1.7081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,7,3,5.0,1.4,3.6,,,,105.2,22.2,68.4,87.2,93.8,,,,,,0.7,0.7,0.7,0.6,0.7,,,,,,0.7135,0.7135,0.6345,1.1472,1.2220,5.0760,1.2186,1.8828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,7,4,2.5,1.1,,,,,34.8,76.4,50.3,46.8,7.5,81.4,,,,,0.4,0.5,0.5,0.5,0.4,0.5,,,,,0.6805,0.6815,0.2147,1.0919,1.1145,2.6582,1.1109,1.4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,7,5,5.0,1.6,1.9,,,,55.1,77.4,69.8,60.3,21.1,,,,,,0.5,0.5,0.5,0.5,0.4,,,,,,0.6606,0.6606,0.5151,1.1462,1.2120,2.3487,1.1930,1.5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,8,1,5.0,1.1,1.3,2.2,,,31.2,46.1,35.4,57.0,69.2,27.5,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,0.7063,0.7070,0.6149,1.3655,1.4410,2.5255,1.2111,1.5119,13.2608,2.9646,4.4164,,,,,,,5,0.0031,0.5303,0.5306,1,,,,5,0.2189,0.6392,0.7224,2,0.0041,0.4519,0.4527,,,,,2,,
2017_H_03,25/6/17,20170625,8,2,5.0,1.2,2.5,,,,11.7,13.8,79.0,58.6,11.9,36.4,,,,,0.6,0.6,0.6,0.6,0.5,0.5,,,,,0.6595,0.6595,0.4950,1.3367,1.4802,2.7594,1.1986,1.5521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,8,3,5.0,2.0,2.7,,,,23.5,46.2,72.4,18.3,55.4,74.6,,,,,0.6,0.6,0.6,0.6,0.6,0.6,,,,,0.5665,0.5665,0.6378,1.3723,1.4425,3.5023,1.2914,1.6902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,8,4,5.0,1.7,1.7,1.6,,,39.0,77.4,42.2,83.3,57.4,,,,,,0.5,0.5,0.5,0.6,0.5,,,,,,0.6818,0.6818,0.6757,1.4195,1.5066,2.9257,1.2976,1.6693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_03,25/6/17,20170625,8,5,5.0,1.1,1.0,0.9,1.2,,27.9,60.0,22.5,4.5,40.9,51.8,,,,,0.5,0.5,0.5,0.4,0.5,0.5,,,,,0.6735,0.6735,0.7489,1.4681,1.5483,1.8275,1.3287,1.5725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,1,1,5.0,1.1,2.5,,,,17.3,80.8,88.2,78.4,43.4,,,,,,0.7,0.6,0.5,0.5,0.5,,,,,,0.5994,0.6128,0.7568,0.6938,0.8083,3.2455,1.7078,2.1598,24.3928,1.8842,4.7396,,,2,0.3801,0.3042,0.3756,,,,,1,0.0017,0.3280,0.3282,4,0.1005,0.3058,0.3545,,,,,,,,,4,,
2017_H_04,24/6/17,20170624,1,2,5.0,1.5,1.8,1.0,,,31.4,82.0,69.8,96.0,23.5,53.6,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,0.6588,0.6725,0.8378,0.6842,0.7923,3.0746,1.7086,2.1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,1,3,5.0,1.0,1.5,1.0,0.7,0.5,50.0,60.4,64.2,35.0,77.1,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,0.6560,0.6689,1.2062,0.6580,0.8490,2.2264,1.5532,1.8724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,1,4,5.0,0.5,1.1,1.4,0.6,0.5,11.4,31.4,5.6,51.6,37.8,69.4,,,,,0.3,0.5,0.3,0.5,0.5,0.5,,,,,0.6447,0.6530,0.5944,0.6979,0.7837,1.5598,1.7636,1.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,1,5,5.0,2.1,1.9,,,,62.8,80.0,5.7,2.5,38.4,72.6,47.4,,,,0.5,0.3,0.3,0.5,0.5,0.5,0.3,,,,0.5932,0.6087,0.5281,0.6845,0.7523,2.5200,1.7615,2.0998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,2,1,5.0,3.0,,,,,5.5,17.5,30.4,13.1,89.8,40.1,76.2,72.2,,,0.3,0.4,0.4,0.6,0.4,0.6,0.7,0.6,,,0.6654,0.6737,0.8009,0.6780,0.7841,3.6860,1.6192,2.1433,25.3122,1.7410,4.7126,,,,,,,,,,,,,,,2,0.0271,0.3219,0.3363,,,,,,,,,9,,
2017_H_04,24/6/17,20170624,2,2,5.0,2.5,,,,,11.9,22.2,28.5,83.4,43.6,74.2,34.8,97.2,,,0.6,0.4,0.4,0.6,0.6,0.6,0.6,0.6,,,0.6594,0.6721,0.6347,0.6446,0.7161,3.9731,1.7265,2.2851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,2,3,5.0,1.5,1.0,0.5,0.7,0.3,52.2,75.4,63.2,5.1,98.0,,,,,,0.4,0.5,0.5,0.4,0.5,,,,,,0.6795,0.6915,0.5742,0.6938,0.7658,2.3965,1.9975,2.3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,2,4,5.0,1.2,1.4,1.4,,,27.0,16.5,54.4,79.4,14.0,19.6,58.4,,,,0.5,0.3,0.5,0.5,0.5,0.5,0.5,,,,0.6484,0.6573,0.9176,0.6188,0.7396,2.3710,1.9642,2.2755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,2,5,5.0,1.0,1.6,1.6,,,70.0,29.2,72.8,4.1,13.5,46.2,77.4,,,,0.5,0.5,0.5,0.3,0.5,0.5,0.5,,,,0.5596,0.5666,0.7630,0.6251,0.7134,2.8733,1.7408,2.1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,3,1,5.0,2.2,1.4,1.1,,,69.6,80.6,10.3,42.0,33.4,61.0,,,,,0.5,0.5,0.3,0.5,0.5,0.5,,,,,0.6481,0.6558,0.7220,0.6200,0.7011,2.3332,1.6370,1.9384,6.0108,1.4963,2.2293,,,,,,,,,,,,,,,2,0.0369,0.3398,0.3518,2,0.0037,0.3750,0.3772,,,,,6,,
2017_H_04,24/6/17,20170624,3,2,5.0,0.8,1.0,0.7,0.5,0.5,43.1,47.6,37.8,22.8,35.8,9.5,3.3,,,,0.5,0.5,0.5,0.5,0.5,0.3,0.3,,,,0.6284,0.6351,0.8839,0.6684,0.7657,1.3439,1.8105,1.9872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,3,3,5.0,1.3,1.3,1.6,0.8,,12.9,61.6,59.9,26.6,7.5,45.4,,,,,0.3,0.5,0.4,0.4,0.4,0.4,,,,,0.6629,0.6977,0.5223,0.6382,0.6967,1.2514,1.7739,1.9356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,3,4,5.0,1.0,2.7,,,,56.6,66.6,67.2,24.9,56.4,5.1,7.4,,,,0.6,0.6,0.6,0.6,0.6,0.4,0.4,,,,0.6733,0.6802,0.6234,0.7054,0.7668,2.5223,1.9669,2.3384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,3,5,3.9,0.5,1.7,1.2,0.5,,55.8,45.6,28.6,27.7,17.0,37.2,10.3,5.1,,,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.3,,,0.6287,0.6354,0.3793,0.6940,0.7349,1.5853,1.7984,2.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,4,1,5.0,1.5,1.5,1.5,,,16.1,45.2,78.0,81.4,81.4,4.1,,,,,0.5,0.5,0.5,0.5,0.5,0.3,,,,,0.6313,0.6341,0.7618,0.6196,0.7254,3.0325,1.8031,2.1956,23.4445,1.8337,4.2280,0.7107,0.7444,1,0.0251,0.4747,0.4802,11,0.0401,0.5018,0.5039,,,,,2,0.0383,0.4727,0.4971,,,,,,,,,10,1 bivalve,
2017_H_04,24/6/17,20170624,4,2,3.9,1.0,1.3,1.0,0.5,0.3,41.2,67.8,67.6,40.2,14.6,51.8,,,,,0.5,0.5,0.5,0.4,0.4,0.5,,,,,0.6708,0.6775,0.5767,0.6733,0.7454,1.8492,1.9528,2.2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,4,3,5.0,2.0,2.5,,,,66.8,78.2,20.5,59.0,35.0,17.7,5.6,,,,0.5,0.5,0.5,0.5,0.5,0.4,0.3,,,,0.6125,0.6183,0.7476,0.7019,0.7803,2.4512,1.6211,1.9653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,4,4,5.0,1.4,1.5,1.1,0.5,0.2,45.2,25.7,32.4,37.5,5.5,17.8,,,,,0.5,0.5,0.5,0.5,0.3,0.3,,,,,0.6604,0.6633,0.6413,0.7278,0.7936,4.3816,1.6852,1.8521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,4,5,4.4,2.0,1.5,1.1,,,44.2,18.7,45.4,64.8,16.0,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,0.6792,0.6825,0.5512,0.7927,0.8572,1.7723,1.8673,2.0987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,5,1,5.0,0.5,0.3,0.1,0.3,0.9,55.4,31.0,41.2,31.1,,,,,,,0.4,0.4,0.4,0.4,,,,,,,0.7093,0.7095,0.3968,0.8292,0.8751,0.9873,1.7837,1.9226,45.4590,5.0008,10.0546,,,1,0.4803,0.3992,0.4908,4,0.0108,0.4545,0.4552,,,,,4,0.1187,0.4998,0.5424,,,,,,,,,4,3 bivalves,
2017_H_04,24/6/17,20170624,5,2,5.0,1.5,1.9,,,,82.4,52.4,109.9,93.6,7.6,5.9,20.5,,,,0.6,0.6,0.6,0.6,0.4,0.4,0.6,,,,0.6382,0.6382,0.7511,0.7250,0.8099,4.0649,1.6482,2.1738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,5,3,5.0,1.3,1.1,1.8,,,36.1,68.4,52.1,66.2,82.2,,,,,,0.5,0.5,0.5,0.5,0.4,,,,,,0.5832,0.5954,0.5227,0.7278,0.8041,2.6354,1.7169,2.1328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,5,4,5.0,1.9,1.7,1.1,,,77.1,41.0,54.4,53.4,15.9,,,,,,0.5,0.5,0.5,0.5,0.4,,,,,,0.5753,0.5766,0.9398,0.7816,0.8965,2.0768,2.0703,2.3478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,5,5,5.0,0.7,2.3,,,,78.8,75.4,63.0,44.4,39.6,80.2,,,,,0.5,0.5,0.5,0.5,0.5,0.4,,,,,0.6215,0.6533,0.5001,0.8564,0.9110,3.3369,1.8971,2.3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,6,1,5.0,1.1,1.6,1.9,,,88.6,80.6,108.4,89.2,34.2,9.8,,,,,0.6,0.6,0.6,0.6,0.5,0.3,,,,,0.6211,0.6228,1.4120,0.6128,0.7730,4.9948,1.9165,2.5952,66.8455,5.3494,12.5068,,,1,0.0813,0.5225,0.5398,5,0.0097,0.4786,0.4789,,,,,3,0.1442,0.4742,0.5276,,,,,,,,,12,1 bivalve,
2017_H_04,24/6/17,20170624,6,2,4.7,1.7,1.3,0.7,0.9,,94.0,75.8,52.1,83.4,37.9,,,,,,0.6,0.6,0.5,0.5,0.5,,,,,,0.6470,0.6470,1.0216,0.6744,0.8207,3.4266,1.9258,2.4257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,6,3,5.0,0.7,1.0,0.6,0.4,0.3,70.7,56.2,51.5,28.0,17.9,,,,,,0.4,0.4,0.4,0.4,0.4,,,,,,0.6399,0.6399,0.7221,0.6820,0.7800,1.3558,1.8448,2.0449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017_H_04,24/6/17,20170624,6,4,5.0,1.3,2.0,,,,75.8,65.9,103.2,90.9,77.6,27.5,22.8,,,,0.5,0.5,0.5,0.5,0.6,0.5,0.3,,,,0.6290,0.6303,0.8267,0.6725,0.7713,4.8202,2.1020,2.7759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
