bed_no,date_MM.DD.YY,species,boat_track,drone,drone_launch_time_AKDT,time_UTC,latitude_decimal_degrees,longitude_decimal_degrees,density
20,07.10.17,Macrocystis,Y,Y,N/A,21:38:42,55.57433244,-133.1867085,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:38:53,55.57423228,-133.1869741,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:38:55,55.57423856,-133.1870435,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:39:05,55.57434375,-133.187273,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:39:13,55.57435582,-133.1874175,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:39:23,55.57425809,-133.1875039,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:39:33,55.57412113,-133.1876,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:39:44,55.57397135,-133.1878412,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:39:52,55.57386632,-133.1879693,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:40:01,55.57371427,-133.188061,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:40:09,55.57359156,-133.1880105,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:40:17,55.57346055,-133.1879414,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:40:23,55.57338428,-133.1878342,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:40:33,55.57327297,-133.1876958,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:40:42,55.57316216,-133.1875258,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:40:52,55.57306233,-133.1872753,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:41:00,55.5730713,-133.1870592,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:41:10,55.57316543,-133.1869332,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:41:19,55.57327406,-133.1868079,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:41:28,55.57332963,-133.1865784,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:41:36,55.57330876,-133.1863367,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:41:45,55.57326668,-133.18605,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:41:56,55.57333005,-133.1857237,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:42:06,55.57337439,-133.185442,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:42:14,55.57340263,-133.1852306,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:42:24,55.57354362,-133.1851167,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:42:35,55.57363884,-133.1850746,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:42:44,55.57374772,-133.185142,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:42:53,55.57386557,-133.1851787,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:43:01,55.5739814,-133.1851222,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:43:11,55.57414427,-133.1850513,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:43:21,55.57423772,-133.1849073,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:43:33,55.57426178,-133.1846555,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:43:43,55.57423328,-133.1843982,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:43:51,55.57427829,-133.1842386,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:44:03,55.57441995,-133.1840291,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:44:13,55.57449128,-133.1839414,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:44:19,55.57452631,-133.183911,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:44:28,55.5744896,-133.1836796,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:44:37,55.57440016,-133.1835808,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:44:46,55.57440461,-133.1833868,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:44:55,55.57443545,-133.1831503,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:45:05,55.57437326,-133.1828575,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:45:13,55.57429656,-133.1826189,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:45:23,55.5741814,-133.1823072,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:45:31,55.57410437,-133.1821021,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:45:39,55.57414712,-133.181934,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:45:49,55.5742653,-133.1818096,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:45:59,55.57437602,-133.1817111,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:46:10,55.57446982,-133.1814573,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:46:22,55.57457107,-133.1811579,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:46:34,55.57469973,-133.1809004,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:46:48,55.57484013,-133.1806549,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:47:00,55.57494314,-133.1803952,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:47:10,55.57501816,-133.1802166,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:47:20,55.57508673,-133.1800565,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:47:33,55.57516309,-133.1799085,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:47:46,55.57522821,-133.1797525,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:47:57,55.57527373,-133.1796453,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:48:08,55.57531128,-133.1795303,2
20,07.10.17,Macrocystis,Y,Y,N/A,21:48:16,55.57532947,-133.1794197,2
21,07.10.17,Macrocystis,N,Y,N/A,22:26:48,55.55073,-133.174804,2
22,07.11.17,Macrocystis,Y,Y,N/A,17:29:59,55.50874279,-133.2428903,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:30:00,55.50873449,-133.242867,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:30:04,55.50869334,-133.2427912,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:30:18,55.50855001,-133.2424376,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:30:33,55.50841388,-133.2420531,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:30:43,55.50827944,-133.2419552,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:30:50,55.50822403,-133.2420635,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:30:58,55.50812052,-133.2422359,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:31:06,55.50798356,-133.2422844,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:31:15,55.507873,-133.2421576,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:31:24,55.50782246,-133.2419123,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:31:30,55.50780024,-133.2417795,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:31:40,55.50769874,-133.2417139,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:31:50,55.50759774,-133.2415604,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:32:01,55.50755449,-133.2412472,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:32:11,55.50757167,-133.2409798,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:32:20,55.50762707,-133.2407905,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:32:22,55.50763009,-133.2407562,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:32:32,55.50757368,-133.2406188,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:32:40,55.5074881,-133.2404541,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:32:49,55.50739196,-133.2402034,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:32:58,55.50726573,-133.2400772,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:33:06,55.50715123,-133.2401841,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:33:15,55.50700924,-133.2401811,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:33:23,55.50691755,-133.2400299,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:33:31,55.5068183,-133.2399212,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:33:40,55.50667631,-133.2399583,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:33:49,55.50655922,-133.2401306,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:33:55,55.50649996,-133.2402078,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:34:03,55.50651228,-133.2403261,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:34:12,55.50659744,-133.2405058,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:34:21,55.50667145,-133.2406921,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:34:30,55.50676801,-133.2408394,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:34:41,55.50691159,-133.2408876,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:34:51,55.50700388,-133.2409763,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:34:55,55.50700514,-133.241073,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:35:03,55.50704646,-133.2413185,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:35:13,55.50715467,-133.2415262,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:35:22,55.50716213,-133.2418122,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:35:30,55.50707596,-133.2421034,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:35:39,55.50696163,-133.2423303,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:35:47,55.50695225,-133.2424737,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:35:56,55.5070167,-133.2427391,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:36:06,55.50714805,-133.2430285,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:36:13,55.50723991,-133.2432364,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:36:22,55.5072871,-133.2435197,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:36:29,55.50729733,-133.24375,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:36:34,55.50728995,-133.2439169,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:36:44,55.50731803,-133.2442868,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:36:54,55.50739884,-133.2445815,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:37:05,55.50749774,-133.2447885,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:37:16,55.50763286,-133.2450177,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:37:25,55.50778474,-133.2452084,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:37:33,55.507888,-133.2453955,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:37:41,55.5079196,-133.2456602,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:37:47,55.50795967,-133.2458737,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:37:58,55.50813208,-133.246162,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:38:07,55.50829243,-133.2463085,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:38:16,55.50838312,-133.2465266,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:38:24,55.50841858,-133.2467235,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:38:32,55.50853073,-133.2468884,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:38:41,55.50867146,-133.2471154,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:38:52,55.50884681,-133.2474325,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:39:00,55.50897949,-133.247575,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:39:09,55.50916381,-133.2475935,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:39:22,55.50937177,-133.2475845,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:39:32,55.50947662,-133.247484,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:39:41,55.50948685,-133.2472308,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:39:51,55.50947,-133.2469331,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:40:03,55.50941192,-133.246683,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:40:15,55.50929256,-133.2464443,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:40:24,55.50925543,-133.246167,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:40:35,55.50929499,-133.2457842,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:40:45,55.50932257,-133.2455017,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:40:49,55.50930706,-133.2454486,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:41:00,55.50917697,-133.2453557,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:41:10,55.50910346,-133.2451099,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:41:20,55.50908444,-133.2447994,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:41:29,55.50912777,-133.2445093,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:41:37,55.50910397,-133.2443163,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:41:47,55.50900975,-133.2441413,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:41:56,55.50897572,-133.2438853,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:42:05,55.50899047,-133.2436121,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:42:13,55.50895502,-133.2434048,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:42:26,55.50881546,-133.2430951,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:42:35,55.50871362,-133.2429212,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:42:36,55.50870591,-133.2428954,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:42:44,55.50872167,-133.2426514,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:42:49,55.5087733,-133.2425105,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:43:00,55.50891143,-133.2421851,3
22,07.11.17,Macrocystis,Y,Y,13:25,17:43:10,55.50903146,-133.2419014,3
23,07.11.17,Macrocystis,Y,Y,14:37,18:11:59,55.52541641,-133.1561598,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:12:00,55.52540911,-133.1561872,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:12:12,55.52531004,-133.15641,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:12:23,55.52514953,-133.1564513,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:12:37,55.52485901,-133.156362,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:12:50,55.52460454,-133.156244,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:12:59,55.5244742,-133.1561353,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:13:14,55.52425006,-133.156014,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:13:27,55.52405292,-133.1559055,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:13:40,55.52385553,-133.155798,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:13:51,55.52372335,-133.1558554,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:13:59,55.52366585,-133.1559844,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:14:04,55.52367406,-133.1560691,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:14:16,55.52377204,-133.156358,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:14:28,55.52384187,-133.1566741,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:14:38,55.52391613,-133.1567973,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:14:50,55.52404102,-133.1567996,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:15:02,55.52416759,-133.1568867,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:15:15,55.52423749,-133.1571268,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:15:24,55.52422425,-133.1573525,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:15:37,55.52415292,-133.1576377,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:15:46,55.52401193,-133.1576814,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:15:59,55.52382636,-133.1577309,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:16:09,55.52373701,-133.1579196,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:16:21,55.52363299,-133.1582111,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:16:34,55.52350349,-133.1583789,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:16:46,55.52335287,-133.1584942,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:16:58,55.52330811,-133.1587122,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:17:10,55.52326041,-133.1590036,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:17:21,55.52315522,-133.1591253,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:17:33,55.52303762,-133.1591892,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:17:37,55.52301457,-133.1592389,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:17:48,55.52309403,-133.159459,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:18:01,55.52326343,-133.1597154,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:18:14,55.52337273,-133.1600071,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:18:22,55.52336779,-133.1602378,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:18:32,55.52326393,-133.1603993,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:18:47,55.52303083,-133.1604039,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:18:59,55.52285699,-133.1605271,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:19:02,55.52283151,-133.1605816,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:19:12,55.52287434,-133.1608274,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:19:20,55.522945,-133.1610528,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:19:32,55.5230455,-133.1614607,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:19:42,55.52308121,-133.1617983,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:19:54,55.52324633,-133.1621009,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:20:05,55.52343828,-133.1623154,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:20:15,55.52355898,-133.1626316,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:20:25,55.52359141,-133.1629794,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:20:36,55.5235599,-133.1633616,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:20:45,55.52359368,-133.1636806,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:20:53,55.52371069,-133.163816,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:21:06,55.52396466,-133.1638796,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:21:18,55.52417999,-133.1637328,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:21:33,55.52441837,-133.1635964,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:21:44,55.52461468,-133.163512,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:21:59,55.52487527,-133.163502,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:22:11,55.52508524,-133.163526,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:22:23,55.52525514,-133.1636398,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:22:36,55.52543694,-133.163485,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:22:49,55.52566409,-133.1633795,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:23:05,55.52589267,-133.163174,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:23:18,55.52600775,-133.1629225,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:23:30,55.52606558,-133.1627107,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:23:42,55.52616416,-133.1625663,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:23:52,55.52627295,-133.1626158,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:24:02,55.52636867,-133.1627841,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:24:08,55.5264219,-133.1627861,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:24:25,55.52660924,-133.1626049,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:24:36,55.52675818,-133.1626033,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:24:49,55.5269275,-133.1624945,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:25:00,55.52709404,-133.16231,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:25:12,55.52717476,-133.1619753,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:25:25,55.5272326,-133.1616877,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:25:38,55.52728004,-133.1615265,2
23,07.11.17,Macrocystis,Y,Y,14:37,18:25:41,55.52728716,-133.1615224,2
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.5252455,-133.1661113,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.5250274,-133.1660664,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52500946,-133.1660683,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52497485,-133.1660826,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52494702,-133.1661132,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.5249243,-133.1661575,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52470118,-133.1662859,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52460462,-133.1662413,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.5245747,-133.1662421,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52440136,-133.1663741,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.5243307,-133.1664067,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52423791,-133.1664164,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52421779,-133.1664167,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52417832,-133.166416,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52416004,-133.1664132,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52414001,-133.1664105,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52410078,-133.1664035,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52408201,-133.1664003,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52404689,-133.1663941,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52402769,-133.1663914,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52400758,-133.1663903,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52398788,-133.1663876,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52396952,-133.166385,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52391244,-133.166389,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52376509,-133.1664443,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52374723,-133.1664552,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52372905,-133.1664665,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52369267,-133.16649,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.5236754,-133.1665003,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52358823,-133.1665607,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52357113,-133.1665767,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52350902,-133.1666494,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52349477,-133.1666686,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52346652,-133.1667111,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52334574,-133.16718,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.5234879,-133.1678679,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52374447,-133.1682879,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52378621,-133.1682904,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52412073,-133.1682921,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52450311,-133.1681974,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.5247622,-133.1682826,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52495934,-133.168175,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52529872,-133.1680377,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52559134,-133.1676738,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.5256967,-133.1670342,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52564682,-133.1666557,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52559159,-133.1664939,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52558589,-133.1664824,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52558086,-133.1664709,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52550785,-133.1663063,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52521851,-133.1659208,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52510175,-133.1659584,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52509412,-133.1659744,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52508708,-133.1659898,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52507493,-133.1660274,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52506772,-133.1660451,3
24,07.11.17,Macrocystis,Y,Y,14:58,17:43:22,55.52505934,-133.166061,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:43:22,55.52350039,-133.1708065,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:43:25,55.52354506,-133.1707976,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:43:39,55.52369418,-133.1707744,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:43:52,55.52386106,-133.1707407,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:44:02,55.52404949,-133.1706582,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:44:13,55.52424856,-133.1704026,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:44:26,55.52449741,-133.1701062,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:44:34,55.52452742,-133.169862,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:44:42,55.52442826,-133.1697045,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:44:53,55.52424478,-133.1694946,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:45:03,55.52405728,-133.1693209,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:45:15,55.52379107,-133.1692831,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:45:27,55.52354096,-133.1692371,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:45:39,55.52330702,-133.169354,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:45:53,55.52306369,-133.1696227,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:46:04,55.52297124,-133.1698696,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:46:14,55.5230761,-133.1700821,3
25,07.11.17,Macrocystis,Y,Y,14:58,18:46:25,55.52317098,-133.1703987,3
