"site_name","site_code","latitude_N","longitude_E","so_region","date_dd.mm.yy","cage_present","replicate","beach_slope","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_width_cm","diffuse_band_height_cm","area_diffuse_band_m2","shoot_density_diffuse_m2","shoot_density_continuous_m2","shoot_density_inside_m2","flower_density_diffuse_m2","flower_density_continuous_m2","flower_density_inside_m2"
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",4,0.0394245423995572,244.7844,95.7844,170.2844,149,8.78439999999998,-4.21560000000002,330,13,165,48,252,276,0,0,8
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",5,0.0556414884074657,272.7844,124.7844,198.7844,148,-7.21560000000002,-12.2156,90,5,45,64,64,244,0,4,4
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",6,0.0156269076979498,253.7844,116.7844,185.2844,137,-14.2156,-15.2156,64,1,32,44,128,280,0,8,8
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",7,0,252.7844,127.7844,190.2844,125,-4.21560000000002,-4.21560000000002,110,0,55,60,240,232,0,0,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",8,0,271.7844,128.7844,200.2844,143,-19.2156,-19.2156,19,0,9.5,36,132,344,0,0,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",9,0.0636204276635189,270.7844,133.7844,202.2844,137,-15.2156,-19.2156,63,4,31.5,40,136,276,0,8,8
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",10,0,271.7844,132.7844,202.2844,139,-17.2156,-17.2156,28,0,14,80,112,272,0,0,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","15/6/18","No",11,0.0619743444886669,NA,151.7844,NA,NA,-17.2156,-29.2156,194,12,97,100,128,364,0,0,4
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",1,0.095672974646988,229.73,59.73,144.73,170,-37.27,-47.27,105,10,52.5,12,116,68,0,8,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",2,0.0560318070783378,221.73,57.73,139.73,164,-35.27,-43.27,143,8,71.5,36,44,88,4,4,4
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",3,0.0883427278529449,223.73,67.73,145.73,156,-16.27,-27.27,125,11,62.5,20,40,160,0,4,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",4,0.0867442794919067,226.73,58.73,142.73,168,-11.27,-18.27,81,7,40.5,64,80,112,0,0,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",5,0.0476731294622796,231.73,65.73,148.73,166,-9.26999999999999,-19.27,210,10,105,8,36,120,0,0,4
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",6,0.041211422428761,252.73,54.73,153.73,198,-5.26999999999999,-19.27,340,14,170,16,100,116,0,4,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",7,0.0350214572158307,244.73,61.73,153.23,183,-23.27,-30.27,200,7,100,60,200,120,0,8,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",8,0.0596804687112927,244.73,58.73,151.73,186,-35.27,-49.27,235,14,117.5,24,96,144,0,0,4
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",9,0.0346528217797849,240.73,55.73,148.23,185,-53.27,-61.27,231,8,115.5,24,204,164,0,0,8
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",10,0.542126615785404,234.73,56.73,145.73,178,37.73,-74.27,235,112,117.5,24,200,0,0,4,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","16/6/18","No",11,0.062868976008269,NA,NA,NA,NA,-64.27,-80.27,255,16,127.5,24,100,172,0,0,4
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",1,0.0500626174321759,277.4192,107.4192,192.4192,170,27.4192,19.4192,160,8,80,4,248,520,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",2,0.0476731294622796,273.4192,117.4192,195.4192,156,30.4192,29.4192,21,1,10.5,56,324,568,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",3,0.0367219825631904,289.4192,117.4192,203.4192,172,21.4192,17.4192,109,4,54.5,24,268,396,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",4,0.0392458754139111,295.4192,117.4192,206.4192,178,26.4192,24.4192,51,2,25.5,10,236,244,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",5,0.0789853933970024,286.4192,114.4192,200.4192,172,23.4192,13.4192,127,10,63.5,16,308,548,0,0,12
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",6,0.0705978118406131,291.4192,118.4192,204.9192,173,26.4192,21.4192,71,5,35.5,2,288,432,0,0,8
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",7,0.0703488721352527,291.4192,116.4192,203.9192,175,26.4192,22.4192,57,4,28.5,50,252,448,0,0,4
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",8,0.0626224291085149,287.4192,115.4192,201.4192,172,26.4192,23.4192,48,3,24,30,352,536,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",9,0.237170824512628,287.4192,110.4192,198.9192,177,26.4192,23.4192,13,3,6.5,6,324,472,0,0,4
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",10,0.0435194139889245,287.4192,110.4192,198.9192,177,26.4192,24.4192,46,2,23,2,344,492,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","11/8/18","No",11,0.0232621052599618,NA,NA,NA,NA,27.4192,26.4192,43,1,21.5,2,368,388,0,0,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",1,0.0796162194123102,314.2769778,219.2769778,266.7769778,95,-16.7230222,-26.7230222,126,10,63,60,80,192,8,4,4
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",2,0.0412722200283219,317.2769778,212.2769778,264.7769778,105,-21.7230222,-25.7230222,97,4,48.5,52,124,268,0,4,12
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",3,0.0560880150656183,313.2769778,197.2769778,255.2769778,116,-11.7230222,-25.7230222,250,14,125,64,128,200,0,4,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",4,0.0657152077453526,311.2769778,206.2769778,258.7769778,105,-17.7230222,-25.7230222,122,8,61,84,136,280,0,4,12
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",5,0.0693148518367146,313.2769778,196.2769778,254.7769778,117,-16.7230222,-29.7230222,188,13,94,24,52,260,0,0,8
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",6,0.0530155237127479,310.2769778,220.2769778,265.2769778,90,-14.7230222,-23.7230222,170,9,85,48,116,256,0,4,12
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",7,0.0668153104781061,314.2769778,199.2769778,256.7769778,115,-4.72302219999997,-24.7230222,300,20,150,76,144,264,0,0,12
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",8,0.0699378606180235,313.2769778,195.2769778,254.2769778,118,-4.72302219999997,-31.7230222,387,27,193.5,48,164,312,0,4,16
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",9,0.0619464716319492,309.2769778,200.2769778,254.7769778,109,-3.72302219999997,-26.7230222,372,23,186,40,112,340,0,4,16
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",10,0.0562110435817641,306.2769778,198.2769778,252.2769778,108,-13.7230222,-24.7230222,196,11,98,44,220,212,0,0,12
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","14/6/18","No",11,0.0592295843991759,NA,NA,NA,NA,0.276977800000026,-22.7230222,389,23,194.5,56,88,264,0,0,12
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",1,0.0486601801495597,281.705632,64.705632,173.205632,217,23.705632,-16.294368,823,40,411.5,40,88,264,4,0,12
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",2,0.0488845964533991,261.705632,71.705632,166.705632,190,28.705632,-23.294368,1065,52,532.5,52,88,300,0,0,8
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",3,0.0658566361344396,286.705632,49.705632,168.205632,237,16.705632,-6.29436800000001,350,23,175,76,216,384,8,12,4
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",4,0.0503148236501918,270.705632,49.705632,160.205632,221,24.705632,4.70563199999999,398,20,199,80,240,380,0,0,4
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",5,0.0480553917353175,280.705632,64.705632,172.705632,216,40.705632,16.705632,500,24,250,100,196,204,0,4,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",6,0.0237033384995239,276.705632,63.705632,170.205632,213,35.705632,30.705632,211,5,105.5,248,316,412,0,0,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",7,0.0452074150670408,263.705632,58.705632,161.205632,205,31.705632,24.705632,155,7,77.5,128,320,452,0,0,8
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",8,0.0477817245713141,257.705632,53.705632,155.705632,204,34.705632,13.705632,440,21,220,40,196,280,0,0,4
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",9,0.0478362080768421,248.705632,64.705632,156.705632,184,32.705632,18.705632,293,14,146.5,80,116,332,0,0,4
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",10,0.0342080315775854,240.705632,69.705632,155.205632,171,9.70563199999999,5.70563199999999,117,4,58.5,88,56,392,0,12,8
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","16/6/18","No",11,0.052704627669473,NA,NA,NA,NA,6.70563199999999,-3.29436800000001,190,10,95,16,320,216,0,0,4
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",1,0.377216768077159,130.548,26.548,78.548,104,83.548,77.548,17,6,8.5,92,328,NA,0,8,NA
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",2,0.0400320384512718,148.548,23.548,86.048,125,62.548,61.548,25,1,12.5,24,528,NA,0,24,NA
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",3,0.0351093383510043,148.548,32.548,90.548,116,58.548,56.548,57,2,28.5,28,724,564,0,56,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",4,0,134.548,44.548,89.548,90,45.548,45.548,9,0,4.5,8,616,484,0,4,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",5,0.052704627669473,130.548,34.548,82.548,96,52.548,51.548,19,1,9.5,32,444,600,0,8,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",6,0.0484438410598937,143.548,28.548,86.048,115,57.548,51.548,124,6,62,8,1140,520,0,20,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",7,0.0325375351403981,147.548,4.54800000000002,76.048,143,42.548,38.548,123,4,61.5,68,736,384,0,16,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",8,0.0375263950292721,127.548,13.548,70.548,114,44.548,38.548,160,6,80,140,876,412,0,32,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",9,0.0476731294622796,NA,4.54800000000002,NA,NA,42.548,37.548,105,5,52.5,28,804,612,0,28,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",10,0.0458702838467661,NA,10.548,NA,NA,40.548,23.548,371,17,185.5,128,896,456,0,36,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","13/7/18","No",11,0.0349049648668616,NA,NA,NA,NA,40.548,31.548,258,9,129,104,288,548,0,0,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",1,0.0179516097953186,177.4352,120.4352,148.9352,57,61.4352,47.4352,780,14,390,120,392,756,4,12,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",2,0.0153864363724166,182.4352,111.4352,146.9352,71,66.4352,55.4352,715,11,357.5,64,488,356,8,16,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",3,0.0207108959919764,179.4352,115.4352,147.4352,64,67.4352,50.4352,821,17,410.5,16,316,584,0,0,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",4,0.0129321157281822,179.4352,101.4352,140.4352,78,63.4352,54.4352,696,9,348,56,180,480,0,4,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",5,0.0147241326434465,181.4352,114.4352,147.9352,67,69.4352,56.4352,883,13,441.5,4,144,504,0,28,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",6,0.0127297504533484,180.4352,121.4352,150.9352,59,73.4352,57.4352,1257,16,628.5,8,560,508,0,12,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",7,0.0150251699003986,187.4352,123.4352,155.4352,64,73.4352,57.4352,1065,16,532.5,24,372,440,0,32,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",8,0.0133821079803561,191.4352,117.4352,154.4352,74,72.4352,57.4352,1121,15,560.5,28,612,668,0,52,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",9,0.0154046710708439,180.4352,119.4352,149.9352,61,77.4352,64.4352,844,13,422,32,448,848,4,24,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",10,0.0196424370397166,182.4352,114.4352,148.4352,68,83.4352,58.4352,1273,25,636.5,92,268,604,0,8,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","28/6/18","No",11,0.0194211373302486,NA,NA,NA,NA,84.4352,64.4352,1030,20,515,28,312,496,4,16,0
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",1,0.00340138021998969,200.8508,136.8508,168.8508,64,28.8508,26.8508,588,2,294,32,384,364,0,16,16
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",2,0.00681834030417338,201.8508,135.8508,168.8508,66,24.8508,21.8508,440,3,220,8,328,344,0,16,20
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",3,0.017194518306108,199.8508,140.8508,170.3508,59,23.8508,17.8508,349,6,174.5,NA,508,68,NA,0,4
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",4,0.0142532290562112,204.8508,139.8508,172.3508,65,20.8508,14.8508,421,6,210.5,16,460,596,0,12,52
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",5,0.0410602098632466,196.8508,138.8508,167.8508,58,21.8508,5.8508,390,16,195,68,332,256,8,4,16
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",6,0.0156269076979498,191.8508,139.8508,165.8508,52,29.8508,22.8508,448,7,224,68,220,392,4,4,32
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",7,0.0212814132689687,192.8508,138.8508,165.8508,54,33.8508,21.8508,564,12,282,72,348,516,8,4,8
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",8,0.0215103509859162,208.8508,142.8508,175.8508,66,31.8508,23.8508,372,8,186,72,280,296,0,8,4
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",9,0.0144543658889929,209.8508,141.8508,175.8508,68,44.8508,23.8508,1453,21,726.5,72,296,604,4,0,8
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",10,0.0162157700889711,198.8508,140.8508,169.8508,58,49.8508,15.8508,2097,34,1048.5,56,208,312,8,8,0
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","25/6/18","No",11,0.00915894165748431,NA,143.8508,NA,NA,41.8508,25.8508,1747,16,873.5,64,56,196,0,100,72
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",1,0.057566412382313,212.4048,146.4048,179.4048,66,-0.595200000000013,-25.5952,435,25,217.5,80,NA,280,0,NA,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",2,0.0557610051280341,NA,148.4048,NA,NA,-0.595200000000013,-26.5952,467,26,233.5,32,300,240,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",3,0.0407189395733298,207.4048,150.4048,178.9048,57,19.4048,0.404799999999987,467,19,233.5,24,436,312,0,4,8
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",4,0.0523102292352963,211.4048,152.4048,181.9048,59,20.4048,-7.59520000000001,536,28,268,62,388,336,0,0,8
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",5,0.0434293280769988,215.4048,146.4048,180.9048,69,19.4048,-1.59520000000001,484,21,242,34,432,264,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",6,0.0349288851511089,214.4048,147.4048,180.9048,67,12.4048,-4.59520000000001,487,17,243.5,46,232,384,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",7,0.0305994218267839,212.4048,150.4048,181.4048,62,19.4048,-3.59520000000001,752,23,376,64,200,220,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",8,0.042702773438324,211.4048,148.4048,179.9048,63,23.4048,-17.5952,961,41,480.5,42,280,280,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",9,0.0234998466962071,206.4048,149.4048,177.9048,57,20.4048,-2.59520000000001,979,23,489.5,16,312,392,0,4,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",10,0.0211864701822944,202.4048,152.4048,177.4048,50,20.4048,1.40479999999999,897,19,448.5,32,256,416,0,4,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","12/6/18","Yes",11,NA,200.4048,154.4048,177.4048,46,NA,NA,NA,NA,NA,22,160,NA,0,0,NA
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",1,0.0440524623708357,248.472,119.472,183.972,129,30.472,12.472,409,18,204.5,12,140,152,0,0,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",2,0.0448726950003862,251.472,125.472,188.472,126,27.472,14.472,290,13,145,24,140,228,0,16,8
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",3,0.0279296688549407,249.472,124.472,186.972,125,19.472,8.47199999999999,394,11,197,56,40,244,0,4,8
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",4,0.0400320384512718,248.472,130.472,189.472,118,19.472,3.47199999999999,400,16,200,36,132,340,4,4,12
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",5,0.0419086756552442,253.472,132.472,192.972,121,20.472,3.47199999999999,406,17,203,12,160,228,0,4,8
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",6,0.0398867636557541,251.472,131.472,191.472,120,20.472,9.47199999999999,276,11,138,96,148,368,16,0,12
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",7,0.0465620197179719,256.472,129.472,192.972,127,20.472,10.472,215,10,107.5,28,176,260,0,8,16
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",8,0.0521541199235757,251.472,128.472,189.972,123,25.472,10.472,288,15,144,8,140,380,0,8,16
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",9,0.0705265061702309,246.472,136.472,191.472,110,32.472,4.47199999999999,398,28,199,24,184,288,0,8,8
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",10,0.0680139116807295,241.472,146.472,193.972,95,33.472,14.472,280,19,140,60,100,232,0,24,12
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","17/6/18","Yes",11,0.0822439618699711,NA,143.472,NA,NA,26.472,1.47199999999999,305,25,152.5,60,224,240,8,4,12
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",1,0.0165839126876825,211.11024,165.11024,188.11024,46,-38.88976,-51.88976,784,13,392,10,240,368,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",2,0.00947909882130877,211.11024,166.11024,188.61024,45,-42.88976,-48.88976,633,6,316.5,4,200,196,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",3,0.00616344526254773,211.11024,168.11024,189.61024,43,-41.88976,-49.88976,1298,8,649,2,232,304,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",4,0.0149518371299537,217.11024,169.11024,193.11024,48,-39.88976,-48.88976,602,9,301,8,236,424,0,8,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",5,0.0182149414920178,224.11024,168.11024,196.11024,56,-38.88976,-49.88976,604,11,302,6,104,24,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",6,NA,201.11024,164.11024,182.61024,37,NA,NA,NA,NA,NA,0,0,12,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",7,0.0116286931507741,217.11024,161.11024,189.11024,56,-44.88976,-49.88976,430,5,215,14,176,328,0,0,8
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",8,0.0073369546228126,214.11024,162.11024,188.11024,52,-45.88976,-65.88976,2726,20,1363,4,120,116,0,0,4
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",9,0.0121607137890421,232.11024,162.11024,197.11024,70,-45.88976,-66.88976,1727,21,863.5,4,84,92,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",10,0.00990801601571437,225.11024,171.11024,198.11024,54,-51.88976,-66.88976,1514,15,757,4,148,192,0,4,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","12/7/18","Yes",11,0.012049067317797,NA,NA,NA,NA,-50.88976,-61.88976,913,11,456.5,4,112,128,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",1,0.0203604529780341,220.5728,126.5728,173.5728,94,28.5728,20.5728,393,8,196.5,10,272,636,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",2,0.0113482483891944,232.5728,118.5728,175.5728,114,22.5728,14.5728,705,8,352.5,22,288,684,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",3,0.0159764794857106,216.5728,138.5728,177.5728,78,24.5728,14.5728,626,10,313,86,516,672,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",4,0.0111634862486105,195.5728,139.5728,167.5728,56,26.5728,14.5728,1075,12,537.5,6,536,468,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",5,0.0103435037340644,185.5728,129.5728,157.5728,56,31.5728,12.5728,1837,19,918.5,4,368,552,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",6,0.0159171353248151,198.5728,138.5728,168.5728,60,29.5728,17.5728,754,12,377,12,324,584,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",7,0.0266761532079368,198.5728,137.5728,168.0728,61,26.5728,12.5728,525,14,262.5,8,252,420,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",8,0.0220526044216536,204.5728,131.5728,168.0728,73,24.5728,10.5728,635,14,317.5,36,228,668,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",9,0.0115503372810897,203.5728,131.5728,167.5728,72,26.5728,14.5728,1039,12,519.5,14,352,488,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",10,0.0140991455077026,203.5728,127.5728,165.5728,76,24.5728,9.57280000000002,1064,15,532,4,140,536,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","10/8/18","No",11,0.0167621308600378,NA,NA,NA,NA,23.5728,20.5728,179,3,89.5,4,124,632,0,0,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",1,0.0408503685102833,173.8724,58.8724,116.3724,115,33.8724,29.8724,98,4,49,100,472,276,0,4,8
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",2,0.0345032779671177,173.8724,58.8724,116.3724,115,34.8724,32.8724,58,2,29,52,380,544,0,0,12
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",3,0.0492399123223959,168.8724,60.8724,114.8724,108,32.8724,23.8724,183,9,91.5,48,464,448,0,4,8
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",4,0.0419530388799711,168.8724,60.8724,114.8724,108,36.8724,22.8724,334,14,167,100,588,136,0,0,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",5,0.0297005911583046,173.8724,61.8724,117.8724,112,33.8724,14.8724,640,19,320,68,324,440,0,0,20
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",6,0.021817271121622,175.8724,60.8724,118.3724,115,34.8724,21.8724,596,13,298,46,340,732,0,4,16
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",7,0.0152689551710299,175.8724,58.8724,117.3724,117,24.8724,22.8724,131,2,65.5,140,532,680,0,8,8
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",8,0.0162623125636348,172.8724,60.8724,116.8724,112,23.8724,21.8724,123,2,61.5,148,520,628,0,0,12
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",9,0.0143383912465797,186.8724,56.8724,121.8724,130,23.8724,19.8724,279,4,139.5,42,984,676,0,12,4
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","10/7/18","No",10,0.01680909685531,192.8724,60.8724,126.8724,132,23.8724,21.8724,119,2,59.5,12,672,792,0,24,0
