site_name,site_code,latitude_N,longitude_E,so_region,cage_present,date_dd.mm.yy,time_waterline_marked,replicate,waterline_elev_stadia_cm,waterline_elev_stadia_avg_cm,waterline_elev_mllw_ft_uncorrected,waterline_elev_mllw_ft_noaa_suggested,waterline_elev_mllw_ft_corrected,fucus_upper_elev_stadia_cm,fucus_lower_elev_stadia_cm,edge_diffuse_elev_stadia_cm,edge_continuous_elev_stadia_cm,distance_diffuse_band_cm,shoot_density_inside_0.25m2,shoot_density_continuous_0.25m2,shoot_density_diffuse_0.25m2,flower_density_inside_0.25m2,flower_density_continuous_0.25m2,flower_density_diffuse_0.25m2
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,1,427,426.3,-1.21,-1.21,-1.21,112,282,362,370,160,130,62,1,0,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,2,426,426.3,-1.21,-1.21,-1.21,116,272,359,360,21,142,81,14,0,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,3,427,426.3,-1.21,-1.21,-1.21,100,272,368,372,109,99,67,6,0,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,4,427,426.3,-1.21,-1.21,-1.21,94,272,363,365,51,61,59,2.5,0,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,5,425,426.3,-1.21,-1.21,-1.21,103,275,366,376,127,137,77,4,3,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,6,425,426.3,-1.21,-1.21,-1.21,98,271,363,368,71,108,72,0.5,2,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,7,425,426.3,-1.21,-1.21,-1.21,98,273,363,367,57,112,63,12.5,1,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,8,426,426.3,-1.21,-1.21,-1.21,102,274,363,366,48,134,88,7.5,0,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,9,428,426.3,-1.21,-1.21,-1.21,102,279,363,366,13,118,81,1.5,1,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,10,427,426.3,-1.21,-1.21,-1.21,102,279,363,365,46,123,86,0.5,0,0,0
Dunbar Inlet a,L_05_a,55.0848,-132.826,Low,No,11/8/18,08:42,11,,426.3,-1.21,-1.21,-1.21,,,362,363,43,97,92,0.5,0,0,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,1,458,453.7777778,-1.46,-2.419,-1.46,95,190,426,436,126,48,20,15,1,1,2
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,2,454,453.7777778,-1.46,-2.419,-1.46,92,197,431,435,97,67,31,13,3,1,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,3,454,453.7777778,-1.46,-2.419,-1.46,96,212,421,435,250,50,32,16,0,1,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,4,451,453.7777778,-1.46,-2.419,-1.46,98,203,427,435,122,70,34,21,3,1,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,5,455,453.7777778,-1.46,-2.419,-1.46,96,213,426,439,188,65,13,6,2,0,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,6,453,453.7777778,-1.46,-2.419,-1.46,99,189,424,433,170,64,29,12,3,1,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,7,452,453.7777778,-1.46,-2.419,-1.46,95,210,414,434,300,66,36,19,3,0,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,8,453,453.7777778,-1.46,-2.419,-1.46,96,214,414,441,387,78,41,12,4,1,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,9,454,453.7777778,-1.46,-2.419,-1.46,100,209,413,436,372,85,28,10,4,1,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,10,,453.7777778,-1.46,-2.419,-1.46,103,211,423,434,196,53,55,11,3,0,0
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,Low,No,14/6/18,06:49,11,,453.7777778,-1.46,-2.419,-1.46,,,409,432,389,66,22,14,3,0,0
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,1,357,358.7,-1.48,-0.7216,-0.7216,55,272,313,353,823,66,22,10,3,0,1
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,2,357,358.7,-1.48,-0.7216,-0.7216,75,265,308,360,1065,75,22,13,2,0,0
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,3,359,358.7,-1.48,-0.7216,-0.7216,50,287,320,343,350,96,54,19,1,3,2
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,4,359,358.7,-1.48,-0.7216,-0.7216,66,287,312,332,398,95,60,20,1,0,0
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,5,360,358.7,-1.48,-0.7216,-0.7216,56,272,296,320,500,51,49,25,0,1,0
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,6,360,358.7,-1.48,-0.7216,-0.7216,60,273,301,306,211,103,79,62,0,0,0
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,7,359,358.7,-1.48,-0.7216,-0.7216,73,278,305,312,155,113,80,32,2,0,0
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,8,359,358.7,-1.48,-0.7216,-0.7216,79,283,302,323,440,70,49,10,1,0,0
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,9,358,358.7,-1.48,-0.7216,-0.7216,88,272,304,318,293,83,29,20,1,0,0
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,10,359,358.7,-1.48,-0.7216,-0.7216,96,267,327,331,117,98,14,22,2,3,0
Mushroom Island a,L_09_a,55.21407,-132.847233,Low,No,16/6/18,10:58,11,,358.7,-1.48,-0.7216,-0.7216,,,330,340,190,54,80,4,1,0,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,1,383,383.6,-1.29,-1.15,-1.15,218,322,265,271,17,,82,23,,2,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,2,384,383.6,-1.29,-1.15,-1.15,200,325,286,287,25,,132,6,,6,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,3,384,383.6,-1.29,-1.15,-1.15,200,316,290,292,57,141,181,7,0,14,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,4,384,383.6,-1.29,-1.15,-1.15,214,304,303,303,9,121,154,2,0,1,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,5,382,383.6,-1.29,-1.15,-1.15,218,314,296,297,19,150,111,8,0,2,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,6,385,383.6,-1.29,-1.15,-1.15,205,320,291,297,124,130,285,2,0,5,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,7,382,383.6,-1.29,-1.15,-1.15,201,344,306,310,123,96,184,17,0,4,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,8,383,383.6,-1.29,-1.15,-1.15,221,335,304,310,160,103,219,35,0,8,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,9,385,383.6,-1.29,-1.15,-1.15,,344,306,311,105,153,201,7,0,7,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,10,384,383.6,-1.29,-1.15,-1.15,,338,308,325,371,114,224,32,0,9,0
Big Clam Bay a,L_10_a,55.227691,-132.973932,Low,No,13/7/18,06:20,11,,383.6,-1.29,-1.15,-1.15,,,308,317,258,137,72,26,0,0,0
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,1,370,370.6,-0.76,-0.76,-0.76,170,227,286,300,780,189,98,30,0,3,1
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,2,372,370.6,-0.76,-0.76,-0.76,165,236,281,292,715,89,122,16,0,4,2
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,3,372,370.6,-0.76,-0.76,-0.76,168,232,280,297,821,146,79,4,0,0,0
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,4,370,370.6,-0.76,-0.76,-0.76,168,246,284,293,696,120,45,14,0,1,0
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,5,371,370.6,-0.76,-0.76,-0.76,166,233,278,291,883,126,36,1,0,7,0
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,6,370,370.6,-0.76,-0.76,-0.76,167,226,274,290,1257,127,140,2,0,3,0
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,7,370,370.6,-0.76,-0.76,-0.76,160,224,274,290,1065,110,93,6,0,8,0
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,8,370,370.6,-0.76,-0.76,-0.76,156,230,275,290,1121,167,153,7,0,13,0
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,9,370,370.6,-0.76,-0.76,-0.76,167,228,270,283,844,212,112,8,0,6,1
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,10,371,370.6,-0.76,-0.76,-0.76,165,233,264,289,1273,151,67,23,0,2,0
N Fish Egg Island a,M_02_a,55.49609,-133.170968,Mid,No,28/6/18,07:32,11,,370.6,-0.76,-0.76,-0.76,,,263,283,1030,124,78,7,0,4,1
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,1,358,357.5,-0.19,-0.415,-0.415,144,208,316,318,588,91,96,8,4,4,0
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,2,357,357.5,-0.19,-0.415,-0.415,143,209,320,323,440,86,82,2,5,4,0
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,3,357,357.5,-0.19,-0.415,-0.415,145,204,321,327,349,17,127,,1,0,
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,4,358,357.5,-0.19,-0.415,-0.415,140,205,324,330,421,149,115,4,13,3,0
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,5,356,357.5,-0.19,-0.415,-0.415,148,206,323,339,390,64,83,17,4,1,2
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,6,357,357.5,-0.19,-0.415,-0.415,153,205,315,322,448,98,55,17,8,1,1
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,7,359,357.5,-0.19,-0.415,-0.415,152,206,311,323,564,129,87,18,2,1,2
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,8,358,357.5,-0.19,-0.415,-0.415,136,202,313,321,372,74,70,18,1,2,0
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,9,358,357.5,-0.19,-0.415,-0.415,135,203,300,321,1453,151,74,18,2,0,1
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,10,357,357.5,-0.19,-0.415,-0.415,146,204,295,329,2097,78,52,14,0,2,2
S Fish Egg Island a,M_03_a,55.485687,-133.174447,Mid,No,25/6/18,06:07,11,,357.5,-0.19,-0.415,-0.415,,201,303,319,1747,49,14,16,18,25,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,1,371,370.2,-1.24,-1.24,-1.24,120,186,333,358,435,70,,20,0,,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,2,373,370.2,-1.24,-1.24,-1.24,,184,333,359,467,60,75,8,0,0,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,3,368,370.2,-1.24,-1.24,-1.24,125,182,313,332,467,78,109,6,2,1,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,4,373,370.2,-1.24,-1.24,-1.24,121,180,312,340,536,84,97,15.5,2,0,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,5,370,370.2,-1.24,-1.24,-1.24,117,186,313,334,484,66,108,8.5,0,0,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,6,371,370.2,-1.24,-1.24,-1.24,118,185,320,337,487,96,58,11.5,0,0,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,7,370,370.2,-1.24,-1.24,-1.24,120,182,313,336,752,55,50,16,0,0,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,8,370,370.2,-1.24,-1.24,-1.24,121,184,309,350,961,70,70,10.5,0,0,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,9,368,370.2,-1.24,-1.24,-1.24,126,183,312,335,979,98,78,4,0,1,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,10,368,370.2,-1.24,-1.24,-1.24,130,180,312,331,897,104,64,8,0,1,0
S Wadleigh Island a,M_04_a,55.528424,-133.147345,Mid,Yes,12/6/18,06:30,11,,370.2,-1.24,-1.24,-1.24,132,178,,,,,40,5.5,,0,0
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,1,410,410,-1.1,-1.1,-1.1,128,257,346,364,409,38,35,3,0,0,0
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,2,410,410,-1.1,-1.1,-1.1,125,251,349,362,290,57,35,6,2,4,0
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,3,410,410,-1.1,-1.1,-1.1,127,252,357,368,394,61,10,14,2,1,0
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,4,410,410,-1.1,-1.1,-1.1,128,246,357,373,400,85,33,9,3,1,1
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,5,411,410,-1.1,-1.1,-1.1,123,244,356,373,406,57,40,3,2,1,0
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,6,409,410,-1.1,-1.1,-1.1,125,245,356,367,276,92,37,24,3,0,4
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,7,,410,-1.1,-1.1,-1.1,120,247,356,366,215,65,44,7,4,2,0
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,8,,410,-1.1,-1.1,-1.1,125,248,351,366,288,95,35,2,4,2,0
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,9,,410,-1.1,-1.1,-1.1,130,240,344,372,398,72,46,6,2,2,0
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,10,,410,-1.1,-1.1,-1.1,135,230,343,362,280,58,25,15,3,6,0
Shinaku Inlet a,M_05_a,55.599299,-133.157644,Mid,Yes,17/6/18,11:36,11,,410,-1.1,-1.1,-1.1,,233,350,375,305,60,56,15,3,1,2
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,1,410,409.2,-2.14,-2.562,-2.562,120,166,370,383,784,92,60,2.5,0,0,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,2,410,409.2,-2.14,-2.562,-2.562,120,165,374,380,633,49,50,1,0,0,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,3,408,409.2,-2.14,-2.562,-2.562,120,163,373,381,1298,76,58,0.5,0,0,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,4,408,409.2,-2.14,-2.562,-2.562,114,162,371,380,602,106,59,2,0,2,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,5,408,409.2,-2.14,-2.562,-2.562,107,163,370,381,604,6,26,1.5,0,0,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,6,410,409.2,-2.14,-2.562,-2.562,130,167,,,,3,0,0,0,0,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,7,408,409.2,-2.14,-2.562,-2.562,114,170,376,381,430,82,44,3.5,2,0,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,8,409,409.2,-2.14,-2.562,-2.562,117,169,377,397,2726,29,30,1,1,0,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,9,410,409.2,-2.14,-2.562,-2.562,99,169,377,398,1727,23,21,1,0,0,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,10,411,409.2,-2.14,-2.562,-2.562,106,160,383,398,1514,48,37,1,0,1,0
Garcia Cove a,M_07_a,55.552181,-133.430032,Mid,Yes,12/7/18,07:43,11,,409.2,-2.14,-2.562,-2.562,,,382,393,913,32,28,1,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,1,291,290.6,0.36,0.36,0.36,81,175,273,281,393,159,68,2.5,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,2,291,290.6,0.36,0.36,0.36,69,183,279,287,705,171,72,5.5,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,3,291,290.6,0.36,0.36,0.36,85,163,277,287,626,168,129,21.5,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,4,291,290.6,0.36,0.36,0.36,106,162,275,287,1075,117,134,1.5,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,5,291,290.6,0.36,0.36,0.36,116,172,270,289,1837,138,92,1,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,6,290,290.6,0.36,0.36,0.36,103,163,272,284,754,146,81,3,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,7,291,290.6,0.36,0.36,0.36,103,164,275,289,525,105,63,2,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,8,290,290.6,0.36,0.36,0.36,97,170,277,291,635,167,57,9,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,9,290,290.6,0.36,0.36,0.36,98,170,275,287,1039,122,88,3.5,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,10,290,290.6,0.36,0.36,0.36,98,174,277,292,1064,134,35,1,0,0,0
Port Refugio a,M_08_a,55.282137,-133.334028,Mid,No,10/8/18,08:38,11,,290.6,0.36,0.36,0.36,,,278,281,179,158,31,1,0,0,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,1,281,281.1,-0.02,0.53,0.255,115,230,255,259,98,69,118,25,2,1,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,2,281,281.1,-0.02,0.53,0.255,115,230,254,256,58,136,95,13,3,0,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,3,280,281.1,-0.02,0.53,0.255,120,228,256,265,183,112,116,12,2,1,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,4,279,281.1,-0.02,0.53,0.255,120,228,252,266,334,34,147,25,0,0,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,5,282,281.1,-0.02,0.53,0.255,115,227,255,274,640,110,81,17,5,0,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,6,283,281.1,-0.02,0.53,0.255,113,228,254,267,596,183,85,11.5,4,1,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,7,282,281.1,-0.02,0.53,0.255,113,230,264,266,131,170,133,35,2,2,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,8,282,281.1,-0.02,0.53,0.255,116,228,265,267,123,157,130,37,3,0,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,9,281,281.1,-0.02,0.53,0.255,102,232,265,269,279,169,246,10.5,1,3,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,10,280,281.1,-0.02,0.53,0.255,96,228,265,267,119,198,168,3,0,6,0
Port Caldera a,M_09_a,55.36209,-133.161232,Mid,No,10/7/18,06:35,11,,281.1,-0.02,0.53,0.255,,,265,266,66,248,185,13,3,3,0
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,1,395,393.7,-0.26,-0.26,-0.26,214,301,307,308,81,188,119,6,7,10,0
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,2,394,393.7,-0.26,-0.26,-0.26,211,309,314,315,58,142,102,26,7,0,0
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,3,394,393.7,-0.26,-0.26,-0.26,220,307,321,322,23,145,174,,8,4,
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,4,394,393.7,-0.26,-0.26,-0.26,222,306,321,322,8,172,171,,3,5,
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,5,393,393.7,-0.26,-0.26,-0.26,223,304,319,320,54,135,122,2.5,2,4,0
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,6,394,393.7,-0.26,-0.26,-0.26,224,308,324,325,15,207,169,,6,8,
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,7,393,393.7,-0.26,-0.26,-0.26,225,307,322,326,160,181,190,13,3,10,2
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,8,391,393.7,-0.26,-0.26,-0.26,220,310,323,323,30,152,173,15.5,2,6,3
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,9,394,393.7,-0.26,-0.26,-0.26,221,305,315,318,69,168,134,25.5,3,4,0
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,10,395,393.7,-0.26,-0.26,-0.26,216,305,321,322,146,107,198,8.5,5,11,1
Big Tree Bay a,M_10_a,55.585855,-133.215512,Mid,No,11/7/18,07:41,11,,393.7,-0.26,-0.26,-0.26,,,322,326,458,111,109,11,3,2,0
