"site_name","site_code","latitude_N","longitude_E","so_region","cage_present","date_dd.mm.yy","replicate","distance_diffuse_band_cm","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_height_cm","beach_slope","area_diffuse_band_m2","shoot_density_inside_m2","shoot_density_continuous_m2","shoot_density_diffuse_m2","flower_density_inside_m2","flower_density_continuous_m2","flower_density_diffuse_m2"
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",4,330,244.7844,95.7844,170.2844,149,8.78439999999998,-4.21560000000002,13,0.0394245423995572,165,276,252,48,8,0,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",5,90,272.7844,124.7844,198.7844,148,-7.21560000000002,-12.2156,5,0.0556414884074657,45,244,64,64,4,4,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",6,64,253.7844,116.7844,185.2844,137,-14.2156,-15.2156,1,0.0156269076979498,32,280,128,44,8,8,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",7,110,252.7844,127.7844,190.2844,125,-4.21560000000002,-4.21560000000002,0,0,55,232,240,60,0,0,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",8,19,271.7844,128.7844,200.2844,143,-19.2156,-19.2156,0,0,9.5,344,132,36,0,0,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",9,63,270.7844,133.7844,202.2844,137,-15.2156,-19.2156,4,0.0636204276635189,31.5,276,136,40,8,8,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",10,28,271.7844,132.7844,202.2844,139,-17.2156,-17.2156,0,0,14,272,112,80,0,0,0
"Natzuhini Bay b","L_04_b",55.247155,-132.879137,"Low","No","15/6/18",11,194,NA,151.7844,NA,NA,-17.2156,-29.2156,12,0.0619743444886669,97,364,128,100,4,0,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",1,105,229.73,59.73,144.73,170,-37.27,-47.27,10,0.095672974646988,52.5,68,116,12,0,8,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",2,143,221.73,57.73,139.73,164,-35.27,-43.27,8,0.0560318070783378,71.5,88,44,36,4,4,4
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",3,125,223.73,67.73,145.73,156,-16.27,-27.27,11,0.0883427278529449,62.5,160,40,20,0,4,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",4,81,226.73,58.73,142.73,168,-11.27,-18.27,7,0.0867442794919067,40.5,112,80,64,0,0,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",5,210,231.73,65.73,148.73,166,-9.26999999999999,-19.27,10,0.0476731294622796,105,120,36,8,4,0,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",6,340,252.73,54.73,153.73,198,-5.26999999999999,-19.27,14,0.041211422428761,170,116,100,16,0,4,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",7,200,244.73,61.73,153.23,183,-23.27,-30.27,7,0.0350214572158307,100,120,200,60,0,8,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",8,235,244.73,58.73,151.73,186,-35.27,-49.27,14,0.0596804687112927,117.5,144,96,24,4,0,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",9,231,240.73,55.73,148.23,185,-53.27,-61.27,8,0.0346528217797849,115.5,164,204,24,8,0,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",10,235,234.73,56.73,145.73,178,37.73,-74.27,112,0.542126615785404,117.5,0,200,24,0,4,0
"Natzuhini Bay c","L_04_c",55.241887,-132.837131,"Low","No","16/6/18",11,255,NA,NA,NA,NA,-64.27,-80.27,16,0.062868976008269,127.5,172,100,24,4,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",1,160,277.4192,107.4192,192.4192,170,27.4192,19.4192,8,0.0500626174321759,80,520,248,4,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",2,21,273.4192,117.4192,195.4192,156,30.4192,29.4192,1,0.0476731294622796,10.5,568,324,56,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",3,109,289.4192,117.4192,203.4192,172,21.4192,17.4192,4,0.0367219825631904,54.5,396,268,24,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",4,51,295.4192,117.4192,206.4192,178,26.4192,24.4192,2,0.0392458754139111,25.5,244,236,10,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",5,127,286.4192,114.4192,200.4192,172,23.4192,13.4192,10,0.0789853933970024,63.5,548,308,16,12,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",6,71,291.4192,118.4192,204.9192,173,26.4192,21.4192,5,0.0705978118406131,35.5,432,288,2,8,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",7,57,291.4192,116.4192,203.9192,175,26.4192,22.4192,4,0.0703488721352527,28.5,448,252,50,4,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",8,48,287.4192,115.4192,201.4192,172,26.4192,23.4192,3,0.0626224291085149,24,536,352,30,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",9,13,287.4192,110.4192,198.9192,177,26.4192,23.4192,3,0.237170824512628,6.5,472,324,6,4,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",10,46,287.4192,110.4192,198.9192,177,26.4192,24.4192,2,0.0435194139889245,23,492,344,2,0,0,0
"Dunbar Inlet a","L_05_a",55.0848,-132.826,"Low","No","11/8/18",11,43,NA,NA,NA,NA,27.4192,26.4192,1,0.0232621052599618,21.5,388,368,2,0,0,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",1,126,314.2769778,219.2769778,266.7769778,95,-16.7230222,-26.7230222,10,0.0796162194123102,63,192,80,60,4,4,8
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",2,97,317.2769778,212.2769778,264.7769778,105,-21.7230222,-25.7230222,4,0.0412722200283219,48.5,268,124,52,12,4,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",3,250,313.2769778,197.2769778,255.2769778,116,-11.7230222,-25.7230222,14,0.0560880150656183,125,200,128,64,0,4,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",4,122,311.2769778,206.2769778,258.7769778,105,-17.7230222,-25.7230222,8,0.0657152077453526,61,280,136,84,12,4,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",5,188,313.2769778,196.2769778,254.7769778,117,-16.7230222,-29.7230222,13,0.0693148518367146,94,260,52,24,8,0,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",6,170,310.2769778,220.2769778,265.2769778,90,-14.7230222,-23.7230222,9,0.0530155237127479,85,256,116,48,12,4,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",7,300,314.2769778,199.2769778,256.7769778,115,-4.72302219999997,-24.7230222,20,0.0668153104781061,150,264,144,76,12,0,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",8,387,313.2769778,195.2769778,254.2769778,118,-4.72302219999997,-31.7230222,27,0.0699378606180235,193.5,312,164,48,16,4,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",9,372,309.2769778,200.2769778,254.7769778,109,-3.72302219999997,-26.7230222,23,0.0619464716319492,186,340,112,40,16,4,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",10,196,306.2769778,198.2769778,252.2769778,108,-13.7230222,-24.7230222,11,0.0562110435817641,98,212,220,44,12,0,0
"Sukkwan Narrows a","L_08_a",55.188785,-132.842514,"Low","No","14/6/18",11,389,NA,NA,NA,NA,0.276977800000026,-22.7230222,23,0.0592295843991759,194.5,264,88,56,12,0,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",1,823,281.705632,64.705632,173.205632,217,23.705632,-16.294368,40,0.0486601801495597,411.5,264,88,40,12,0,4
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",2,1065,261.705632,71.705632,166.705632,190,28.705632,-23.294368,52,0.0488845964533991,532.5,300,88,52,8,0,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",3,350,286.705632,49.705632,168.205632,237,16.705632,-6.29436800000001,23,0.0658566361344396,175,384,216,76,4,12,8
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",4,398,270.705632,49.705632,160.205632,221,24.705632,4.70563199999999,20,0.0503148236501918,199,380,240,80,4,0,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",5,500,280.705632,64.705632,172.705632,216,40.705632,16.705632,24,0.0480553917353175,250,204,196,100,0,4,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",6,211,276.705632,63.705632,170.205632,213,35.705632,30.705632,5,0.0237033384995239,105.5,412,316,248,0,0,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",7,155,263.705632,58.705632,161.205632,205,31.705632,24.705632,7,0.0452074150670408,77.5,452,320,128,8,0,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",8,440,257.705632,53.705632,155.705632,204,34.705632,13.705632,21,0.0477817245713141,220,280,196,40,4,0,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",9,293,248.705632,64.705632,156.705632,184,32.705632,18.705632,14,0.0478362080768421,146.5,332,116,80,4,0,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",10,117,240.705632,69.705632,155.205632,171,9.70563199999999,5.70563199999999,4,0.0342080315775854,58.5,392,56,88,8,12,0
"Mushroom Island a","L_09_a",55.21407,-132.847233,"Low","No","16/6/18",11,190,NA,NA,NA,NA,6.70563199999999,-3.29436800000001,10,0.052704627669473,95,216,320,16,4,0,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",1,17,130.548,26.548,78.548,104,83.548,77.548,6,0.377216768077159,8.5,NA,328,92,NA,8,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",2,25,148.548,23.548,86.048,125,62.548,61.548,1,0.0400320384512718,12.5,NA,528,24,NA,24,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",3,57,148.548,32.548,90.548,116,58.548,56.548,2,0.0351093383510043,28.5,564,724,28,0,56,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",4,9,134.548,44.548,89.548,90,45.548,45.548,0,0,4.5,484,616,8,0,4,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",5,19,130.548,34.548,82.548,96,52.548,51.548,1,0.052704627669473,9.5,600,444,32,0,8,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",6,124,143.548,28.548,86.048,115,57.548,51.548,6,0.0484438410598937,62,520,1140,8,0,20,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",7,123,147.548,4.54800000000002,76.048,143,42.548,38.548,4,0.0325375351403981,61.5,384,736,68,0,16,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",8,160,127.548,13.548,70.548,114,44.548,38.548,6,0.0375263950292721,80,412,876,140,0,32,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",9,105,NA,4.54800000000002,NA,NA,42.548,37.548,5,0.0476731294622796,52.5,612,804,28,0,28,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",10,371,NA,10.548,NA,NA,40.548,23.548,17,0.0458702838467661,185.5,456,896,128,0,36,0
"Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low","No","13/7/18",11,258,NA,NA,NA,NA,40.548,31.548,9,0.0349049648668616,129,548,288,104,0,0,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",1,780,177.4352,120.4352,148.9352,57,61.4352,47.4352,14,0.0179516097953186,390,756,392,120,0,12,4
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",2,715,182.4352,111.4352,146.9352,71,66.4352,55.4352,11,0.0153864363724166,357.5,356,488,64,0,16,8
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",3,821,179.4352,115.4352,147.4352,64,67.4352,50.4352,17,0.0207108959919764,410.5,584,316,16,0,0,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",4,696,179.4352,101.4352,140.4352,78,63.4352,54.4352,9,0.0129321157281822,348,480,180,56,0,4,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",5,883,181.4352,114.4352,147.9352,67,69.4352,56.4352,13,0.0147241326434465,441.5,504,144,4,0,28,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",6,1257,180.4352,121.4352,150.9352,59,73.4352,57.4352,16,0.0127297504533484,628.5,508,560,8,0,12,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",7,1065,187.4352,123.4352,155.4352,64,73.4352,57.4352,16,0.0150251699003986,532.5,440,372,24,0,32,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",8,1121,191.4352,117.4352,154.4352,74,72.4352,57.4352,15,0.0133821079803561,560.5,668,612,28,0,52,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",9,844,180.4352,119.4352,149.9352,61,77.4352,64.4352,13,0.0154046710708439,422,848,448,32,0,24,4
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",10,1273,182.4352,114.4352,148.4352,68,83.4352,58.4352,25,0.0196424370397166,636.5,604,268,92,0,8,0
"N Fish Egg Island a","M_02_a",55.49609,-133.170968,"Mid","No","28/6/18",11,1030,NA,NA,NA,NA,84.4352,64.4352,20,0.0194211373302486,515,496,312,28,0,16,4
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",1,588,200.8508,136.8508,168.8508,64,28.8508,26.8508,2,0.00340138021998969,294,364,384,32,16,16,0
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",2,440,201.8508,135.8508,168.8508,66,24.8508,21.8508,3,0.00681834030417338,220,344,328,8,20,16,0
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",3,349,199.8508,140.8508,170.3508,59,23.8508,17.8508,6,0.017194518306108,174.5,68,508,NA,4,0,NA
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",4,421,204.8508,139.8508,172.3508,65,20.8508,14.8508,6,0.0142532290562112,210.5,596,460,16,52,12,0
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",5,390,196.8508,138.8508,167.8508,58,21.8508,5.8508,16,0.0410602098632466,195,256,332,68,16,4,8
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",6,448,191.8508,139.8508,165.8508,52,29.8508,22.8508,7,0.0156269076979498,224,392,220,68,32,4,4
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",7,564,192.8508,138.8508,165.8508,54,33.8508,21.8508,12,0.0212814132689687,282,516,348,72,8,4,8
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",8,372,208.8508,142.8508,175.8508,66,31.8508,23.8508,8,0.0215103509859162,186,296,280,72,4,8,0
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",9,1453,209.8508,141.8508,175.8508,68,44.8508,23.8508,21,0.0144543658889929,726.5,604,296,72,8,0,4
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",10,2097,198.8508,140.8508,169.8508,58,49.8508,15.8508,34,0.0162157700889711,1048.5,312,208,56,0,8,8
"S Fish Egg Island a","M_03_a",55.485687,-133.174447,"Mid","No","25/6/18",11,1747,NA,143.8508,NA,NA,41.8508,25.8508,16,0.00915894165748431,873.5,196,56,64,72,100,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",1,435,212.4048,146.4048,179.4048,66,-0.595200000000013,-25.5952,25,0.057566412382313,217.5,280,NA,80,0,NA,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",2,467,NA,148.4048,NA,NA,-0.595200000000013,-26.5952,26,0.0557610051280341,233.5,240,300,32,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",3,467,207.4048,150.4048,178.9048,57,19.4048,0.404799999999987,19,0.0407189395733298,233.5,312,436,24,8,4,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",4,536,211.4048,152.4048,181.9048,59,20.4048,-7.59520000000001,28,0.0523102292352963,268,336,388,62,8,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",5,484,215.4048,146.4048,180.9048,69,19.4048,-1.59520000000001,21,0.0434293280769988,242,264,432,34,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",6,487,214.4048,147.4048,180.9048,67,12.4048,-4.59520000000001,17,0.0349288851511089,243.5,384,232,46,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",7,752,212.4048,150.4048,181.4048,62,19.4048,-3.59520000000001,23,0.0305994218267839,376,220,200,64,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",8,961,211.4048,148.4048,179.9048,63,23.4048,-17.5952,41,0.042702773438324,480.5,280,280,42,0,0,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",9,979,206.4048,149.4048,177.9048,57,20.4048,-2.59520000000001,23,0.0234998466962071,489.5,392,312,16,0,4,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",10,897,202.4048,152.4048,177.4048,50,20.4048,1.40479999999999,19,0.0211864701822944,448.5,416,256,32,0,4,0
"S Wadleigh Island a","M_04_a",55.528424,-133.147345,"Mid","Yes","12/6/18",11,NA,200.4048,154.4048,177.4048,46,NA,NA,NA,NA,NA,NA,160,22,NA,0,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",1,409,248.472,119.472,183.972,129,30.472,12.472,18,0.0440524623708357,204.5,152,140,12,0,0,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",2,290,251.472,125.472,188.472,126,27.472,14.472,13,0.0448726950003862,145,228,140,24,8,16,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",3,394,249.472,124.472,186.972,125,19.472,8.47199999999999,11,0.0279296688549407,197,244,40,56,8,4,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",4,400,248.472,130.472,189.472,118,19.472,3.47199999999999,16,0.0400320384512718,200,340,132,36,12,4,4
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",5,406,253.472,132.472,192.972,121,20.472,3.47199999999999,17,0.0419086756552442,203,228,160,12,8,4,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",6,276,251.472,131.472,191.472,120,20.472,9.47199999999999,11,0.0398867636557541,138,368,148,96,12,0,16
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",7,215,256.472,129.472,192.972,127,20.472,10.472,10,0.0465620197179719,107.5,260,176,28,16,8,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",8,288,251.472,128.472,189.972,123,25.472,10.472,15,0.0521541199235757,144,380,140,8,16,8,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",9,398,246.472,136.472,191.472,110,32.472,4.47199999999999,28,0.0705265061702309,199,288,184,24,8,8,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",10,280,241.472,146.472,193.972,95,33.472,14.472,19,0.0680139116807295,140,232,100,60,12,24,0
"Shinaku Inlet a","M_05_a",55.599299,-133.157644,"Mid","Yes","17/6/18",11,305,NA,143.472,NA,NA,26.472,1.47199999999999,25,0.0822439618699711,152.5,240,224,60,12,4,8
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",1,784,211.11024,165.11024,188.11024,46,-38.88976,-51.88976,13,0.0165839126876825,392,368,240,10,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",2,633,211.11024,166.11024,188.61024,45,-42.88976,-48.88976,6,0.00947909882130877,316.5,196,200,4,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",3,1298,211.11024,168.11024,189.61024,43,-41.88976,-49.88976,8,0.00616344526254773,649,304,232,2,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",4,602,217.11024,169.11024,193.11024,48,-39.88976,-48.88976,9,0.0149518371299537,301,424,236,8,0,8,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",5,604,224.11024,168.11024,196.11024,56,-38.88976,-49.88976,11,0.0182149414920178,302,24,104,6,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",6,NA,201.11024,164.11024,182.61024,37,NA,NA,NA,NA,NA,12,0,0,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",7,430,217.11024,161.11024,189.11024,56,-44.88976,-49.88976,5,0.0116286931507741,215,328,176,14,8,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",8,2726,214.11024,162.11024,188.11024,52,-45.88976,-65.88976,20,0.0073369546228126,1363,116,120,4,4,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",9,1727,232.11024,162.11024,197.11024,70,-45.88976,-66.88976,21,0.0121607137890421,863.5,92,84,4,0,0,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",10,1514,225.11024,171.11024,198.11024,54,-51.88976,-66.88976,15,0.00990801601571437,757,192,148,4,0,4,0
"Garcia Cove a","M_07_a",55.552181,-133.430032,"Mid","Yes","12/7/18",11,913,NA,NA,NA,NA,-50.88976,-61.88976,11,0.012049067317797,456.5,128,112,4,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",1,393,220.5728,126.5728,173.5728,94,28.5728,20.5728,8,0.0203604529780341,196.5,636,272,10,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",2,705,232.5728,118.5728,175.5728,114,22.5728,14.5728,8,0.0113482483891944,352.5,684,288,22,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",3,626,216.5728,138.5728,177.5728,78,24.5728,14.5728,10,0.0159764794857106,313,672,516,86,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",4,1075,195.5728,139.5728,167.5728,56,26.5728,14.5728,12,0.0111634862486105,537.5,468,536,6,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",5,1837,185.5728,129.5728,157.5728,56,31.5728,12.5728,19,0.0103435037340644,918.5,552,368,4,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",6,754,198.5728,138.5728,168.5728,60,29.5728,17.5728,12,0.0159171353248151,377,584,324,12,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",7,525,198.5728,137.5728,168.0728,61,26.5728,12.5728,14,0.0266761532079368,262.5,420,252,8,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",8,635,204.5728,131.5728,168.0728,73,24.5728,10.5728,14,0.0220526044216536,317.5,668,228,36,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",9,1039,203.5728,131.5728,167.5728,72,26.5728,14.5728,12,0.0115503372810897,519.5,488,352,14,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",10,1064,203.5728,127.5728,165.5728,76,24.5728,9.57280000000002,15,0.0140991455077026,532,536,140,4,0,0,0
"Port Refugio a","M_08_a",55.282137,-133.334028,"Mid","No","10/8/18",11,179,NA,NA,NA,NA,23.5728,20.5728,3,0.0167621308600378,89.5,632,124,4,0,0,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",1,98,173.8724,58.8724,116.3724,115,33.8724,29.8724,4,0.0408503685102833,49,276,472,100,8,4,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",2,58,173.8724,58.8724,116.3724,115,34.8724,32.8724,2,0.0345032779671177,29,544,380,52,12,0,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",3,183,168.8724,60.8724,114.8724,108,32.8724,23.8724,9,0.0492399123223959,91.5,448,464,48,8,4,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",4,334,168.8724,60.8724,114.8724,108,36.8724,22.8724,14,0.0419530388799711,167,136,588,100,0,0,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",5,640,173.8724,61.8724,117.8724,112,33.8724,14.8724,19,0.0297005911583046,320,440,324,68,20,0,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",6,596,175.8724,60.8724,118.3724,115,34.8724,21.8724,13,0.021817271121622,298,732,340,46,16,4,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",7,131,175.8724,58.8724,117.3724,117,24.8724,22.8724,2,0.0152689551710299,65.5,680,532,140,8,8,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",8,123,172.8724,60.8724,116.8724,112,23.8724,21.8724,2,0.0162623125636348,61.5,628,520,148,12,0,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",9,279,186.8724,56.8724,121.8724,130,23.8724,19.8724,4,0.0143383912465797,139.5,676,984,42,4,12,0
"Port Caldera a","M_09_a",55.36209,-133.161232,"Mid","No","10/7/18",10,119,192.8724,60.8724,126.8724,132,23.8724,21.8724,2,0.01680909685531,59.5,792,672,12,0,24,0
